Co2(scd40) raw_signla(sgp40) aiq(ens160) tvoc(ens160) eco2(ens160) rs1(ens160) rs3(ens160) rs4(ens160) rmox(zmod4410) tvoc(zmod4410) eco2(zmod4410) iaq(zmod4410) resistencia(bme688) Aire/muestra
1930 31883 3 320 824 390,83 339,61 73,88 5,42 0,3234 402 2 497812,34375 1
1930 31883 3 327 810 387,8 338,35 76,4 5,42 0,3234 402 2 497812,34375 1
1930 31883 3 327 810 387,8 338,35 76,4 5,42 0,364 403 2 494925,09375 1
1927 31873 3 325 810 382,84 332,79 76,5 5,42 0,364 403 2 494925,09375 1
1927 31873 3 325 810 382,84 332,79 76,5 5,42 0,4024 405 2 494208,5 1
1924 31864 3 324 809 380,77 334,03 76,55 5,42 0,4024 405 2 494208,5 1
1924 31864 3 324 809 380,77 334,03 76,55 5,42 0,4376 408 2 494208,5 1
1919 31854 3 326 809 380,77 334,03 76,55 5,42 0,4376 408 2 490656,4375 1
1919 31854 3 326 805 382,19 329,2 77,51 5,42 0,4708 411 2 490656,4375 1
1915 31846 3 326 805 382,19 329,2 77,51 5,42 0,4708 411 2 492071,125 1
1915 31846 3 317 807 385,31 335,05 77,07 5,42 0,4708 411 2 492071,125 1
1915 31846 3 317 807 385,31 335,05 77,07 5,42 0,4996 415 2 486807,6875 1
1912 31836 3 295 799 389,37 334,14 78,6 5,42 0,4996 415 2 486807,6875 1
1912 31836 3 295 799 389,37 334,14 78,6 5,42 0,5258 417 2 486807,6875 1
1909 31829 3 304 803 382,45 329,98 77,94 5,42 0,5258 417 2 486807,6875 1
1909 31829 3 304 803 382,45 329,98 77,94 5,42 0,5497 419 2 486807,6875 1
1909 31817 3 294 803 382,45 329,98 77,94 5,42 0,5497 419 2 486114,40625 1
1909 31817 3 294 788 380,39 338,7 79,4 5,42 0,5706 421 2 486114,40625 1
1906 31811 3 294 788 380,39 338,7 79,4 5,42 0,5706 421 2 485078,15625 1
1906 31811 3 305 803 378,97 341,34 77,91 5,42 0,5706 421 2 485078,15625 1
1906 31811 3 305 803 378,97 341,34 77,91 5,42 0,5901 422 2 483703,34375 1
1906 31804 3 253 755 379,74 340,65 81,94 5,42 0,5901 422 2 483703,34375 1
1906 31804 3 253 755 379,74 340,65 81,94 5,42 0,6072 423 2 480977,0 1
1901 31798 3 266 768 385,05 347,76 80,89 5,42 0,6072 423 2 480977,0 1
1901 31798 3 266 768 385,05 347,76 80,89 5,42 0,6231 423 2 480977,0 1
1899 31795 3 269 768 385,05 347,76 80,89 5,42 0,6231 423 2 481316,09375 1
1899 31795 3 269 767 382,71 344,48 81,0 5,42 0,6373 424 2 481316,09375 1
1898 31787 3 269 767 382,71 344,48 81,0 5,42 0,6373 424 2 479625,28125 1
1898 31787 3 266 768 376,93 349,29 80,89 5,42 0,6373 424 2 479625,28125 1
1898 31787 3 266 768 376,93 349,29 80,89 5,42 0,6505 424 2 478952,28125 1
1895 31783 3 270 773 382,84 347,17 80,51 5,42 0,6505 424 2 478952,28125 1
1895 31783 3 270 773 382,84 347,17 80,51 5,42 0,6618 425 2 479288,5625 1
1894 31774 3 281 785 388,59 356,82 79,64 5,42 0,6618 425 2 479288,5625 1
1894 31774 3 281 785 388,59 356,82 79,64 5,42 0,6716 425 2 479288,5625 1
1893 31764 3 268 785 388,59 356,82 79,64 5,42 0,6716 425 2 478281,1875 1
1893 31764 3 268 767 370,6 350,0 81,0 5,42 0,6801 425 3 478281,1875 1
1891 31762 3 268 767 370,6 350,0 81,0 5,42 0,6801 425 3 479625,28125 1
1891 31762 3 262 764 376,04 349,76 81,19 5,42 0,6801 425 3 479625,28125 1
1891 31762 3 262 764 376,04 349,76 81,19 5,42 0,688 425 3 474953,625 1
1885 31757 3 276 779 369,22 350,0 80,07 5,42 0,688 425 3 474953,625 1
1885 31757 3 276 779 369,22 350,0 80,07 5,42 0,695 425 3 475615,40625 1
1883 31750 3 275 778 380,13 356,09 80,18 5,42 0,695 425 3 475615,40625 1
1883 31750 3 275 778 380,13 356,09 80,18 5,42 0,7014 426 3 475615,40625 1
1883 31750 3 279 778 380,13 356,09 80,18 5,42 0,7014 426 3 473964,375 1
1883 31750 3 279 795 375,02 356,82 78,92 5,42 0,707 428 3 473964,375 1
1883 31747 3 279 795 375,02 356,82 78,92 5,42 0,707 428 3 474293,65625 1
1883 31747 3 261 764 377,18 355,61 81,25 5,42 0,707 428 3 474293,65625 1
1883 31747 3 261 764 377,18 355,61 81,25 5,42 0,713 430 3 472979,21875 1
1883 31745 3 256 758 376,29 357,54 81,72 5,42 0,713 430 3 472979,21875 1
1883 31745 3 256 758 376,29 357,54 81,72 5,42 0,7178 433 3 471672,03125 1
1880 31738 3 261 763 390,56 351,78 81,28 5,42 0,7178 433 3 471672,03125 1
1880 31738 3 261 763 390,56 351,78 81,28 5,42 0,722 436 3 471672,03125 1
1880 31739 3 279 763 390,56 351,78 81,28 5,42 0,722 436 3 472651,75 1
1880 31739 3 279 775 375,15 354,17 80,4 5,42 0,7246 439 3 472651,75 1
1879 31736 3 279 775 375,15 354,17 80,4 5,42 0,7246 439 3 472979,21875 1
1879 31736 3 270 774 367,6 353,81 80,51 5,42 0,7246 439 3 472979,21875 1
1879 31736 3 270 774 367,6 353,81 80,51 5,42 0,7281 442 3 470048,1875 1
1878 31728 3 276 780 382,06 355,85 80,05 5,42 0,7281 442 3 470048,1875 1
1878 31728 3 276 780 382,06 355,85 80,05 5,42 0,7314 445 3 471672,03125 1
1878 31719 3 282 786 374,89 364,14 79,59 5,42 0,7314 445 3 471672,03125 1
1878 31719 3 282 786 374,89 364,14 79,59 5,42 0,7337 448 3 471672,03125 1
1878 31721 3 287 786 374,89 364,14 79,59 5,42 0,7337 448 3 469724,78125 1
1878 31721 3 287 765 394,15 358,03 81,17 5,42 0,7358 451 3 469724,78125 1
1876 31721 3 287 765 394,15 358,03 81,17 5,42 0,7358 451 3 469724,78125 1
1876 31721 3 260 762 381,81 365,5 81,36 5,42 0,7358 451 3 469724,78125 1
1876 31721 3 260 762 381,81 365,5 81,36 5,42 0,7373 454 3 468435,5 1
1876 31714 3 267 770 376,93 362,42 80,78 5,42 0,7373 454 3 468435,5 1
1876 31714 3 267 770 376,93 362,42 80,78 5,42 0,7389 456 3 467793,5 1
1875 31714 3 266 769 376,54 362,91 80,89 5,42 0,7389 456 3 467793,5 1
1875 31714 3 266 769 376,54 362,91 80,89 5,42 0,7397 459 3 467793,5 1
1875 31712 3 269 769 376,54 362,91 80,89 5,42 0,7397 459 3 468114,28125 1
1875 31712 3 269 772 372,49 359,85 80,62 5,42 0,7417 461 3 468114,28125 1
1874 31711 3 269 772 372,49 359,85 80,62 5,42 0,7417 461 3 467153,28125 1
1874 31711 3 239 739 373,62 359,24 83,14 5,42 0,7417 461 3 467153,28125 1
1874 31711 3 239 739 373,62 359,24 83,14 5,42 0,7426 464 3 467793,5 1
1874 31706 3 247 748 372,24 353,93 82,44 5,42 0,7426 464 3 467793,5 1
1874 31706 3 247 748 372,24 353,93 82,44 5,42 0,744 466 3 465560,34375 1
1874 31703 3 257 759 379,62 357,78 81,63 5,42 0,744 466 3 465560,34375 1
1874 31703 3 257 759 379,62 357,78 81,63 5,42 0,7447 468 3 465560,34375 1
1874 31705 3 292 759 379,62 357,78 81,63 5,42 0,7447 468 3 466833,8125 1
1874 31705 3 292 795 379,49 360,58 78,89 5,42 0,7464 470 3 466833,8125 1
1872 31705 3 292 795 379,49 360,58 78,89 5,42 0,7464 470 3 463663,125 1
1872 31705 3 256 758 367,98 357,78 81,72 5,42 0,7464 470 3 463663,125 1
