Co2(scd40) raw_signla(sgp40) aiq(ens160) tvoc(ens160) eco2(ens160) rs1(ens160) rs3(ens160) rs4(ens160) rmox(zmod4410) tvoc(zmod4410) eco2(zmod4410) iaq(zmod4410) resistencia(bme688) Aire/muestra
884 18959 5 65000 48172 24,52 8,92 1,94 5,37 6,5099 408 4 14548,760742 1
884 18959 5 65000 48172 24,52 8,92 1,94 5,37 7,0868 409 4 13922,123047 1
893 18897 5 65000 51535 23,97 8,67 1,85 5,37 7,0868 409 4 13922,123047 1
893 18897 5 65000 51535 23,97 8,67 1,85 5,37 7,4574 409 4 13922,123047 1
901 18841 5 65000 51535 23,97 8,67 1,85 5,37 7,4574 409 4 13559,322266 1
901 18841 5 65000 53129 23,37 8,5 1,81 5,37 7,7537 409 4 13559,322266 1
921 18797 5 65000 53129 23,37 8,5 1,81 5,37 7,7537 409 4 13174,145508 1
921 18797 5 65000 54491 23,08 8,39 1,78 5,37 7,7537 409 4 13174,145508 1
921 18797 5 65000 54491 23,08 8,39 1,78 5,37 8,0136 409 4 12918,853516 1
932 18766 5 65000 56760 22,4 8,41 1,73 5,37 8,0136 409 4 12918,853516 1
932 18766 5 65000 56760 22,4 8,41 1,73 5,37 8,2299 410 4 12650,72168 1
932 18742 5 65000 57107 22,54 8,47 1,72 5,37 8,2299 410 4 12650,72168 1
932 18742 5 65000 57107 22,54 8,47 1,72 5,37 8,4072 410 4 12650,72168 1
938 18728 5 65000 57107 22,54 8,47 1,72 5,37 8,4072 410 4 12407,910156 1
938 18728 5 65000 59906 22,41 8,35 1,66 5,37 8,5452 410 4 12407,910156 1
942 18720 5 65000 59906 22,41 8,35 1,66 5,37 8,5452 410 4 12174,244141 1
942 18720 5 65000 60244 22,41 8,3 1,65 5,37 8,5452 410 4 12174,244141 1
942 18720 5 65000 60244 22,41 8,3 1,65 5,37 8,6644 410 5 12016,522461 1
953 18716 5 65000 60954 22,02 8,16 1,64 5,37 8,6644 410 5 12016,522461 1
953 18716 5 65000 60954 22,02 8,16 1,64 5,37 8,7606 410 5 11590,003906 1
959 18714 5 65000 62342 21,99 8,12 1,61 5,37 8,7606 410 5 11590,003906 1
959 18714 5 65000 62342 21,99 8,12 1,61 5,37 8,8336 410 5 11590,003906 1
970 18718 5 65000 62342 21,99 8,12 1,61 5,37 8,8336 410 5 11416,339844 1
970 18718 5 65000 63374 21,76 8,07 1,6 5,37 8,8857 410 5 11416,339844 1
979 18720 5 65000 63374 21,76 8,07 1,6 5,37 8,8857 410 5 11259,676758 1
979 18720 5 65000 65000 21,77 8,1 1,55 5,37 8,8857 410 5 11259,676758 1
979 18720 5 65000 65000 21,77 8,1 1,55 5,37 8,9298 410 5 11095,700195 1
985 18726 5 65000 65000 21,8 7,92 1,55 5,37 8,9298 410 5 11095,700195 1
985 18726 5 65000 65000 21,8 7,92 1,55 5,37 8,9623 410 5 10958,904297 1
989 18732 5 65000 65000 21,41 7,91 1,54 5,37 8,9623 410 5 10958,904297 1
989 18732 5 65000 65000 21,41 7,91 1,54 5,37 8,9838 410 5 10958,904297 1
999 18734 5 65000 65000 21,41 7,91 1,54 5,37 8,9838 410 5 10825,439453 1
999 18734 5 65000 65000 21,46 7,94 1,54 5,37 8,9969 410 5 10825,439453 1
1004 18742 5 65000 65000 21,46 7,94 1,54 5,37 8,9969 410 5 10738,254883 1
1004 18742 5 65000 65000 21,0 7,85 1,51 5,37 8,9969 410 5 10738,254883 1
1004 18742 5 65000 65000 21,0 7,85 1,51 5,37 9,0052 410 5 10578,512695 1
1016 18747 5 65000 65000 21,38 7,73 1,51 5,37 9,0052 410 5 10578,512695 1
1016 18747 5 65000 65000 21,38 7,73 1,51 5,37 9,0012 410 5 10423,453125 1
1023 18752 5 65000 65000 21,35 7,79 1,49 5,37 9,0012 410 5 10423,453125 1
1023 18752 5 65000 65000 21,35 7,79 1,49 5,37 8,9982 410 5 10423,453125 1
1023 18753 5 65000 65000 21,35 7,79 1,49 5,37 8,9982 410 5 10322,581055 1
1023 18753 5 65000 65000 21,18 7,73 1,45 5,37 8,9955 410 5 10322,581055 1
1025 18753 5 65000 65000 21,18 7,73 1,45 5,37 8,9955 410 5 10253,124023 1
1025 18753 5 65000 65000 21,13 7,56 1,48 5,37 8,9955 410 5 10253,124023 1
1025 18753 5 65000 65000 21,13 7,56 1,48 5,37 8,9842 410 5 10107,390625 1
1026 18759 5 65000 65000 21,32 7,69 1,45 5,37 8,9842 410 5 10107,390625 1
1026 18759 5 65000 65000 21,32 7,69 1,45 5,37 8,9699 410 5 10050,250977 1
1034 18766 5 65000 65000 21,24 7,47 1,44 5,37 8,9699 410 5 10050,250977 1
1034 18766 5 65000 65000 21,24 7,47 1,44 5,37 8,9524 410 5 10050,250977 1
1035 18769 5 65000 65000 21,24 7,47 1,44 5,37 8,9524 410 5 9965,743164 1
1035 18769 5 65000 65000 20,86 7,57 1,43 5,37 8,9344 410 5 9965,743164 1
1039 18773 5 65000 65000 20,86 7,57 1,43 5,37 8,9344 410 5 9882,643555 1
1039 18773 5 65000 65000 21,19 7,45 1,43 5,37 8,9344 410 5 9882,643555 1
1039 18773 5 65000 65000 21,19 7,45 1,43 5,37 8,9211 410 5 9828,009766 1
1043 18781 5 65000 65000 21,18 7,47 1,42 5,37 8,9211 410 5 9828,009766 1
1043 18781 5 65000 65000 21,18 7,47 1,42 5,37 8,9079 410 5 9756,097656 1
1044 18787 5 65000 65000 21,19 7,32 1,42 5,37 8,9079 410 5 9756,097656 1
1044 18787 5 65000 65000 21,19 7,32 1,42 5,37 8,8885 410 5 9756,097656 1
1046 18790 5 65000 65000 21,19 7,32 1,42 5,37 8,8885 410 5 9641,458008 1
1046 18790 5 65000 65000 21,18 7,33 1,38 5,37 8,8795 410 5 9641,458008 1
1049 18797 5 65000 65000 21,18 7,33 1,38 5,37 8,8795 410 5 9580,837891 1
1049 18797 5 65000 65000 21,3 7,29 1,39 5,37 8,8795 410 5 9580,837891 1
1049 18797 5 65000 65000 21,3 7,29 1,39 5,37 8,8621 410 5 9529,481445 1
1053 18801 5 65000 65000 21,18 7,2 1,38 5,37 8,8621 410 5 9529,481445 1
1053 18801 5 65000 65000 21,18 7,2 1,38 5,37 8,8396 410 5 9445,100586 1
1053 18806 5 65000 65000 21,13 7,19 1,37 5,37 8,8396 410 5 9445,100586 1
1053 18806 5 65000 65000 21,13 7,19 1,37 5,37 8,8197 410 5 9445,100586 1
1054 18808 5 65000 65000 21,13 7,19 1,37 5,37 8,8197 410 5 9403,467773 1
1054 18808 5 65000 65000 20,89 7,24 1,37 5,37 8,7917 410 5 9403,467773 1
1054 18815 5 65000 65000 20,89 7,24 1,37 5,37 8,7917 410 5 9288,824219 1
1054 18815 5 65000 65000 21,09 7,16 1,38 5,37 8,7917 410 5 9288,824219 1
1054 18815 5 65000 65000 21,09 7,16 1,38 5,37 8,767 410 5 9224,560547 1
1055 18816 5 65000 65000 21,25 7,12 1,34 5,37 8,767 410 5 9224,560547 1
1055 18816 5 65000 65000 21,25 7,12 1,34 5,37 8,7451 410 5 9224,560547 1
1060 18819 5 65000 65000 20,95 7,04 1,34 5,37 8,7451 410 5 9224,560547 1
1060 18819 5 65000 65000 20,95 7,04 1,34 5,37 8,719 410 5 9224,560547 1
1060 18822 5 65000 65000 20,95 7,04 1,34 5,37 8,719 410 5 9114,212891 1
1060 18822 5 65000 65000 21,27 6,98 1,34 5,37 8,7001 410 5 9114,212891 1
1061 18829 5 65000 65000 21,27 6,98 1,34 5,37 8,7001 410 5 9098,664062 1
1061 18829 5 65000 65000 21,37 6,94 1,33 5,37 8,7001 410 5 9098,664062 1
1061 18829 5 65000 65000 21,37 6,94 1,33 5,37 8,6744 410 5 9075,439453 1
1064 18834 5 65000 65000 20,9 7,0 1,33 5,37 8,6744 410 5 9075,439453 1
1064 18834 5 65000 65000 20,9 7,0 1,33 5,37 8,6491 410 5 8983,716797 1
1065 18844 5 65000 65000 20,99 6,94 1,33 5,37 8,6491 410 5 8983,716797 1
1065 18844 5 65000 65000 20,99 6,94 1,33 5,37 8,6251 410 5 8983,716797 1
1066 18846 5 65000 65000 20,99 6,94 1,33 5,37 8,6251 410 5 8968,610352 1
1066 18846 5 65000 65000 21,25 6,88 1,33 5,37 8,5982 410 5 8968,610352 1
1071 18849 5 65000 65000 21,25 6,88 1,33 5,37 8,5982 410 5 8879,023437 1
1071 18849 5 65000 65000 21,08 6,78 1,31 5,37 8,5982 410 5 8879,023437 1
1071 18849 5 65000 65000 21,08 6,78 1,31 5,37 8,5708 410 5 8879,023437 1
1076 18849 5 65000 65000 21,06 6,79 1,32 5,37 8,5708 410 5 8879,023437 1
1076 18849 5 65000 65000 21,06 6,79 1,32 5,37 8,546 411 5 8791,208984 1
1076 18859 5 65000 65000 21,37 6,79 1,31 5,37 8,546 411 5 8791,208984 1
1076 18859 5 65000 65000 21,37 6,79 1,31 5,37 8,5199 412 5 8791,208984 1
1078 18862 5 65000 65000 21,37 6,79 1,31 5,37 8,5199 412 5 8812,999023 1
1078 18862 5 65000 65000 21,5 6,66 1,28 5,37 8,4997 413 5 8812,999023 1
1078 18868 5 65000 65000 21,5 6,66 1,28 5,37 8,4997 413 5 8726,479492 1
1078 18868 5 65000 65000 21,06 6,71 1,29 5,37 8,4997 413 5 8726,479492 1
1078 18868 5 65000 65000 21,06 6,71 1,29 5,37 8,4758 414 5 8705,114258 1
1082 18875 5 65000 65000 21,12 6,72 1,29 5,37 8,4758 414 5 8705,114258 1
1082 18875 5 65000 65000 21,12 6,72 1,29 5,37 8,45 415 5 8634,646484 1
1084 18875 5 65000 65000 21,24 6,59 1,3 5,37 8,45 415 5 8634,646484 1
1084 18875 5 65000 65000 21,24 6,59 1,3 5,37 8,4274 416 5 8634,646484 1
1085 18881 5 65000 65000 21,24 6,59 1,3 5,37 8,4274 416 5 8620,689453 1
1085 18881 5 65000 65000 20,96 6,48 1,29 5,37 8,4101 416 5 8620,689453 1
1086 18883 5 65000 65000 20,96 6,48 1,29 5,37 8,4101 416 5 8551,577148 1
1086 18883 5 65000 65000 21,18 6,54 1,27 5,37 8,4101 416 5 8551,577148 1
1086 18883 5 65000 65000 21,18 6,54 1,27 5,37 8,3935 416 5 8517,43457 1
1086 18884 5 65000 65000 21,09 6,52 1,26 5,37 8,3935 416 5 8517,43457 1
1086 18884 5 65000 65000 21,09 6,52 1,26 5,37 8,376 416 5 8497,079102 1
1086 18885 5 65000 65000 21,35 6,47 1,24 5,37 8,376 416 5 8497,079102 1
1086 18885 5 65000 65000 21,35 6,47 1,24 5,37 8,3572 415 5 8497,079102 1
1087 18888 5 65000 65000 21,35 6,47 1,24 5,37 8,3572 415 5 8470,089844 1
1087 18888 5 65000 65000 21,03 6,42 1,26 5,37 8,3331 415 5 8470,089844 1
1087 18891 5 65000 65000 21,03 6,42 1,26 5,37 8,3331 415 5 8403,361328 1
1087 18891 5 65000 65000 21,3 6,51 1,24 5,37 8,3331 415 5 8403,361328 1
1087 18891 5 65000 65000 21,3 6,51 1,24 5,37 8,3137 413 5 8370,389648 1
1088 18895 5 65000 65000 20,7 6,31 1,25 5,37 8,3137 413 5 8370,389648 1
1088 18895 5 65000 65000 20,7 6,31 1,25 5,37 8,2934 412 5 8318,169922 1
1088 18898 5 65000 65000 21,2 6,41 1,23 5,37 8,2934 412 5 8318,169922 1
1088 18898 5 65000 65000 21,2 6,41 1,23 5,37 8,2759 410 5 8318,169922 1
1088 18902 5 65000 65000 21,2 6,41 1,23 5,37 8,2759 410 5 8324,662109 1
1088 18902 5 65000 65000 20,94 6,43 1,25 5,37 8,2592 408 5 8324,662109 1
1088 18905 5 65000 65000 20,94 6,43 1,25 5,37 8,2592 408 5 8305,216797 1
1088 18905 5 65000 65000 21,27 6,4 1,22 5,37 8,2592 408 5 8305,216797 1
1088 18905 5 65000 65000 21,27 6,4 1,22 5,37 8,2356 406 5 8241,050781 1
1088 18907 5 65000 65000 20,84 6,29 1,23 5,37 8,2356 406 5 8241,050781 1
1088 18907 5 65000 65000 20,84 6,29 1,23 5,37 8,2146 404 5 8228,335937 1
1088 18911 5 65000 65000 20,99 6,25 1,22 5,37 8,2146 404 5 8228,335937 1
1088 18911 5 65000 65000 20,99 6,25 1,22 5,37 8,1965 403 5 8228,335937 1
1088 18913 5 65000 65000 20,99 6,25 1,22 5,37 8,1965 403 5 8184,143066 1
1088 18913 5 65000 65000 21,03 6,29 1,21 5,37 8,1778 402 5 8184,143066 1
1088 18912 5 65000 65000 21,03 6,29 1,21 5,37 8,1778 402 5 8171,603516 1
1088 18912 5 65000 65000 21,02 6,21 1,2 5,37 8,1778 402 5 8171,603516 1
1088 18912 5 65000 65000 21,02 6,21 1,2 5,37 8,1619 402 5 8128,016113 1
