Co2(scd40) raw_signla(sgp40) aiq(ens160) tvoc(ens160) eco2(ens160) rs1(ens160) rs3(ens160) rs4(ens160) rmox(zmod4410) tvoc(zmod4410) eco2(zmod4410) iaq(zmod4410) resistencia(bme688) Aire/muestra
1158 31512 3 357 820 310,69 256,53 74,48 5,33 0,1424 403 1 439768,09375 1
1159 31506 3 320 808 317,39 249,17 76,84 5,33 0,1424 403 1 439768,09375 1
1159 31506 3 320 808 317,39 249,17 76,84 5,33 0,1763 405 2 439768,09375 1
1159 31496 3 358 808 317,39 249,17 76,84 5,33 0,1763 405 2 437513,34375 1
1159 31496 3 358 820 309,01 245,32 74,53 5,33 0,2114 407 2 437513,34375 1
1159 31490 3 358 820 309,01 245,32 74,53 5,33 0,2114 407 2 433898,3125 1
1159 31490 3 323 809 301,88 243,99 76,68 5,33 0,2114 407 2 433898,3125 1
1159 31490 3 323 809 301,88 243,99 76,68 5,33 0,2443 409 2 433622,6875 1
1159 31484 3 353 819 301,88 237,48 74,71 5,33 0,2443 409 2 433622,6875 1
1159 31484 3 353 819 301,88 237,48 74,71 5,33 0,2772 412 2 432249,90625 1
1159 31478 3 328 811 301,06 237,48 76,32 5,33 0,2772 412 2 432249,90625 1
1159 31478 3 328 811 301,06 237,48 76,32 5,33 0,3073 416 2 432249,90625 1
1159 31475 3 324 811 301,06 237,48 76,32 5,33 0,3073 416 2 430885,75 1
1159 31475 3 324 814 302,29 234,52 75,62 5,33 0,3361 419 2 430885,75 1
1159 31467 3 324 814 302,29 234,52 75,62 5,33 0,3361 419 2 427111,5625 1
1159 31467 3 315 806 291,24 231,05 77,2 5,33 0,3361 419 2 427111,5625 1
1159 31467 3 315 806 291,24 231,05 77,2 5,33 0,3643 421 2 430071,40625 1
1160 31465 3 294 797 292,03 232,78 78,73 5,33 0,3643 421 2 430071,40625 1
1160 31465 3 294 797 292,03 232,78 78,73 5,33 0,3886 422 2 428720,96875 1
1160 31464 3 353 819 294,81 228,26 74,71 5,33 0,3886 422 2 428720,96875 1
1160 31464 3 353 819 294,81 228,26 74,71 5,33 0,4097 423 2 428720,96875 1
1160 31453 3 313 819 294,81 228,26 74,71 5,33 0,4097 423 2 428720,96875 1
1160 31453 3 313 804 286,74 231,68 77,7 5,33 0,4319 424 2 428720,96875 1
1160 31455 3 313 804 286,74 231,68 77,7 5,33 0,4319 424 2 426844,53125 1
1160 31455 3 306 803 285,97 227,02 77,83 5,33 0,4319 424 2 426844,53125 1
1160 31455 3 306 803 285,97 227,02 77,83 5,33 0,4526 425 2 426045,34375 1
1161 31449 3 309 804 287,52 226,64 77,65 5,33 0,4526 425 2 426045,34375 1
1161 31449 3 309 804 287,52 226,64 77,65 5,33 0,4703 425 2 428451,875 1
1162 31441 3 308 804 283,94 225,26 77,7 5,33 0,4703 425 2 428451,875 1
1162 31441 3 308 804 283,94 225,26 77,7 5,33 0,4867 425 2 428451,875 1
1163 31441 3 316 804 283,94 225,26 77,7 5,33 0,4867 425 2 425514,21875 1
1163 31441 3 316 803 282,03 228,26 77,83 5,33 0,5023 426 2 425514,21875 1
1163 31438 3 316 803 282,03 228,26 77,83 5,33 0,5023 426 2 426577,78125 1
1163 31438 3 297 800 282,12 225,19 78,49 5,33 0,5023 426 2 426577,78125 1
1163 31438 3 297 800 282,12 225,19 78,49 5,33 0,5163 426 2 424984,4375 1
1163 31435 3 333 812 288,3 224,81 76,01 5,33 0,5163 426 2 424984,4375 1
1163 31435 3 333 812 288,3 224,81 76,01 5,33 0,5301 426 2 423402,9375 1
1162 31432 3 317 807 280,88 222,84 77,07 5,33 0,5301 426 2 423402,9375 1
1162 31432 3 317 807 280,88 222,84 77,07 5,33 0,5404 426 2 423402,9375 1
1163 31427 3 305 807 280,88 222,84 77,07 5,33 0,5404 426 2 422355,125 1
1163 31427 3 305 807 278,52 224,27 76,97 5,33 0,552 426 2 422355,125 1
1163 31424 3 305 807 278,52 224,27 76,97 5,33 0,552 426 2 421572,65625 1
1163 31424 3 348 818 279,65 224,73 75,04 5,33 0,552 426 2 421572,65625 1
1163 31424 3 348 818 279,65 224,73 75,04 5,33 0,5614 426 2 420533,875 1
1163 31421 3 327 810 272,92 221,41 76,4 5,33 0,5614 426 2 420533,875 1
1163 31421 3 327 810 272,92 221,41 76,4 5,33 0,571 426 2 421312,5 1
1164 31415 3 285 788 277,01 221,41 79,43 5,33 0,571 426 2 421312,5 1
1164 31415 3 285 788 277,01 221,41 79,43 5,33 0,5784 426 2 421312,5 1
1164 31408 3 303 788 277,01 221,41 79,43 5,33 0,5784 426 2 423928,78125 1
1164 31408 3 303 793 284,71 224,2 79,08 5,33 0,5863 426 2 423928,78125 1
1164 31401 3 303 793 284,71 224,2 79,08 5,33 0,5863 426 2 420793,09375 1
1164 31401 3 320 808 271,17 221,78 76,86 5,33 0,5863 426 2 420793,09375 1
1164 31401 3 320 808 271,17 221,78 76,86 5,33 0,5929 427 2 420533,875 1
1164 31395 3 300 801 272,83 218,95 78,25 5,33 0,5929 427 2 420533,875 1
1164 31395 3 300 801 272,83 218,95 78,25 5,33 0,5989 429 2 421833,15625 1
1164 31397 3 331 812 274,31 220,29 76,14 5,33 0,5989 429 2 421833,15625 1
1164 31397 3 331 812 274,31 220,29 76,14 5,33 0,6039 432 2 421833,15625 1
1164 31402 3 296 812 274,31 220,29 76,14 5,33 0,6039 432 2 420016,40625 1
1164 31402 3 296 800 274,96 217,03 78,54 5,33 0,6088 434 2 420016,40625 1
1164 31402 3 296 800 274,96 217,03 78,54 5,33 0,6088 434 2 417448,03125 1
1164 31402 3 285 788 271,72 216,0 79,43 5,33 0,6088 434 2 417448,03125 1
1164 31402 3 285 788 271,72 216,0 79,43 5,33 0,6139 437 2 418471,59375 1
1163 31399 3 329 811 269,7 215,71 76,29 5,33 0,6139 437 2 418471,59375 1
1163 31399 3 329 811 269,7 215,71 76,29 5,33 0,6186 440 2 418985,28125 1
1163 31397 3 309 807 271,17 218,5 77,1 5,33 0,6186 440 2 418985,28125 1
1163 31397 3 309 807 271,17 218,5 77,1 5,33 0,6226 443 2 418985,28125 1
1163 31393 3 287 807 271,17 218,5 77,1 5,33 0,6226 443 2 421572,65625 1
