Co2(scd40) raw_signla(sgp40) aiq(ens160) tvoc(ens160) eco2(ens160) rs1(ens160) rs3(ens160) rs4(ens160) rmox(zmod4410) tvoc(zmod4410) eco2(zmod4410) iaq(zmod4410) resistencia(bme688) Aire/muestra
1730 32485 3 217 748 445.67 485.02 83.88 5.35 0.0159 400 1 424455.968750 0
             
Co2(scd40) raw_signla(sgp40) aiq(ens160) tvoc(ens160) eco2(ens160) rs1(ens160) rs3(ens160) rs4(ens160) rmox(zmod4410) tvoc(zmod4410) eco2(zmod4410) iaq(zmod4410) resistencia(bme688) Aire/muestra
1731 32460 2 232 732 439.38 476.40 82.61 5.35 0.0159 400 1 424192.218750 0
1732 32449 3 237 737 441.92 473.83 82.16 5.35 0.0159 400 1 424192.218750 0
1732 32449 3 237 737 441.92 473.83 82.16 5.35 0.0159 400 1 423928.781250 0
1732 32449 3 249 751 435.09 479.31 81.14 5.35 0.0159 400 1 423928.781250 0
1732 32449 3 249 751 435.09 479.31 81.14 5.35 0.0159 400 1 423928.781250 0
1733 32445 3 237 751 435.09 479.31 81.14 5.35 0.0159 400 1 422616.593750 0
1733 32445 3 237 726 438.94 484.86 83.06 5.35 0.0159 400 1 422616.593750 0
1733 32445 3 237 726 438.94 484.86 83.06 5.35 0.0159 400 1 422616.593750 0
1733 32445 2 237 737 441.77 477.05 82.19 5.35 0.0159 400 1 422616.593750 0
1733 32445 2 237 737 441.77 477.05 82.19 5.35 0.0159 400 1 423402.937500 0
1732 32451 3 234 734 450.22 481.91 82.47 5.35 0.0159 400 1 423402.937500 0
1732 32451 3 234 734 450.22 481.91 82.47 5.35 0.0159 400 1 422616.593750 0
1733 32447 2 209 704 443.87 481.43 84.79 5.35 0.0159 400 1 422616.593750 0
1733 32447 2 209 704 443.87 481.43 84.79 5.35 0.0159 400 1 422616.593750 0
1733 32444 3 224 704 443.87 481.43 84.79 5.35 0.0159 400 1 420275.000000 0
1733 32444 3 224 708 442.67 484.20 84.47 5.35 0.0159 400 1 420275.000000 0
1734 32446 3 224 708 442.67 484.20 84.47 5.35 0.0159 400 1 423140.500000 0
1734 32446 3 230 729 439.53 479.64 82.80 5.35 0.0159 400 1 423140.500000 0
1734 32446 3 230 729 439.53 479.64 82.80 5.35 0.0159 400 1 422355.125000 0
1734 32449 3 235 734 438.49 483.06 82.41 5.35 0.0159 400 1 422355.125000 0
1734 32449 3 235 734 438.49 483.06 82.41 5.35 0.0159 400 1 424455.968750 0
1735 32446 3 231 731 438.34 477.21 82.69 5.35 0.0159 400 1 424455.968750 0
1735 32446 3 231 731 438.34 477.21 82.69 5.35 0.0159 400 1 424455.968750 0
1735 32446 3 243 731 438.34 477.21 82.69 5.35 0.0159 400 1 424984.437500 0
1735 32446 3 243 691 439.83 481.59 85.83 5.35 0.0159 400 1 424984.437500 0
1736 32443 3 243 691 439.83 481.59 85.83 5.35 0.0159 400 1 424455.968750 0
1736 32443 3 226 724 448.09 489.48 83.20 5.35 0.0159 400 1 424455.968750 0
1736 32443 3 226 724 448.09 489.48 83.20 5.35 0.0159 400 1 422616.593750 0
1736 32446 3 237 738 441.02 475.27 82.16 5.35 0.0159 400 1 422616.593750 0
1736 32446 3 237 738 441.02 475.27 82.16 5.35 0.0159 400 1 423928.781250 0
1737 32446 3 224 722 440.28 490.31 83.34 5.35 0.0159 400 1 423928.781250 0
1737 32446 3 224 722 440.28 490.31 83.34 5.35 0.0159 400 1 423928.781250 0
1737 32450 3 216 722 440.28 490.31 83.34 5.35 0.0159 400 1 421052.625000 0
1737 32450 3 216 713 441.77 480.94 84.07 5.35 0.0159 400 1 421052.625000 0
1737 32456 3 216 713 441.77 480.94 84.07 5.35 0.0159 400 1 423140.500000 0
1737 32456 3 242 743 439.23 485.68 81.77 5.35 0.0159 400 1 423140.500000 0
1737 32456 3 242 743 439.23 485.68 81.77 5.35 0.0159 400 1 422616.593750 0
1737 32457 3 254 756 443.12 491.14 80.78 5.35 0.0159 400 1 422616.593750 0
1737 32457 3 254 756 443.12 491.14 80.78 5.35 0.0159 400 1 422616.593750 0
1737 32454 2 204 698 447.94 484.04 83.34 5.35 0.0159 400 1 422616.593750 0
1737 32454 2 204 698 447.94 484.04 83.34 5.35 0.0159 400 1 422616.593750 0
1737 32459 2 228 698 447.94 484.04 83.34 5.35 0.0159 400 1 420275.000000 0
1737 32459 2 228 727 447.79 483.88 82.97 5.35 0.0159 400 1 420275.000000 0
1738 32455 2 228 727 447.79 483.88 82.97 5.35 0.0159 400 1 424720.031250 0
1738 32455 3 238 739 445.67 482.40 82.08 5.35 0.0159 400 1 424720.031250 0
1738 32455 3 238 739 445.67 482.40 82.08 5.35 0.0159 400 1 425249.156250 0
1738 32458 3 237 737 449.46 489.31 82.24 5.35 0.0159 400 1 425249.156250 0
1738 32458 3 237 737 449.46 489.31 82.24 5.35 0.0159 400 1 423665.687500 0
1740 32459 3 251 719 442.82 479.47 83.65 5.35 0.0159 400 1 423665.687500 0
1740 32459 3 251 719 442.82 479.47 83.65 5.35 0.0159 400 1 423665.687500 0
1739 32458 2 249 719 442.82 479.47 83.65 5.35 0.0159 400 1 421312.500000 0
1739 32458 2 249 750 448.70 487.33 81.22 5.35 0.0159 400 1 421312.500000 0
1739 32454 2 249 750 448.70 487.33 81.22 5.35 0.0159 400 1 423402.937500 0
1739 32454 3 242 742 443.42 487.99 81.80 5.35 0.0159 400 1 423402.937500 0
1739 32454 3 242 742 443.42 487.99 81.80 5.35 0.0159 400 1 423665.687500 0
1740 32448 3 243 743 451.90 482.73 81.72 5.35 0.0159 400 1 423665.687500 0
1740 32448 3 243 743 451.90 482.73 81.72 5.35 0.0159 400 1 421572.656250 0
1740 32447 3 238 705 452.36 484.70 84.76 5.35 0.0159 400 1 421572.656250 0
1740 32447 3 238 705 452.36 484.70 84.76 5.35 0.0159 400 1 421572.656250 0
1740 32449 3 221 705 452.36 484.70 84.76 5.35 0.0159 400 1 423402.937500 1
1740 32449 3 221 719 444.17 478.83 83.65 5.35 0.0159 400 1 423402.937500 1
1741 32464 3 221 719 444.17 478.83 83.65 5.35 0.0159 400 1 422878.375000 1
1741 32464 2 216 713 445.07 479.96 84.10 5.35 0.0159 400 1 422878.375000 1
1741 32464 2 216 713 445.07 479.96 84.10 5.35 0.0159 400 1 423402.937500 1
1740 32516 3 222 720 443.87 489.14 83.54 5.35 0.0159 400 1 423402.937500 1
1740 32516 3 222 720 443.87 489.14 83.54 5.35 0.0159 400 1 426311.406250 1
1740 32555 2 214 693 438.94 481.59 85.71 5.35 0.0159 400 1 426311.406250 1
1740 32555 2 214 693 438.94 481.59 85.71 5.35 0.0159 400 1 426311.406250 1
1740 32584 2 186 693 438.94 481.59 85.71 5.35 0.0159 400 1 423402.937500 1
1740 32584 2 186 675 437.31 469.68 87.15 5.35 0.0159 400 1 423402.937500 1
1740 32606 2 186 675 437.31 469.68 87.15 5.35 0.0159 400 1 423402.937500 1
1740 32606 2 172 657 447.49 470.63 88.63 5.35 0.0159 400 1 423402.937500 1
1740 32606 2 172 657 447.49 470.63 88.63 5.35 0.0159 400 1 422093.968750 1
1740 32615 2 215 711 441.32 463.05 84.25 5.35 0.0159 400 1 422093.968750 1
1740 32615 2 215 711 441.32 463.05 84.25 5.35 0.0160 400 1 417959.187500 1
1740 32619 2 185 661 442.22 454.97 88.36 5.35 0.0160 400 1 417959.187500 1
1740 32619 2 185 661 442.22 454.97 88.36 5.35 0.0161 400 1 417959.187500 1
1740 32620 2 180 661 442.22 454.97 88.36 5.35 0.0161 400 1 419500.218750 1
1740 32620 2 180 668 441.32 447.79 87.74 5.35 0.0172 400 1 419500.218750 1
1741 32618 2 180 668 441.32 447.79 87.74 5.35 0.0172 400 1 420533.875000 1
