Co2(scd40) raw_signla(sgp40) aiq(ens160) tvoc(ens160) eco2(ens160) rs1(ens160) rs3(ens160) rs4(ens160) rmox(zmod4410) tvoc(zmod4410) eco2(zmod4410) iaq(zmod4410) resistencia(bme688) Aire/muestra
33,88 51 458 66,16 87,32 42,49 25,14 4,89 0,0184 400  1 210137,5 1
33,83 82 517 65,78 83,76 40,15 25,14 4,89 0,0184 400  1 210137,5 1
33,83 82 517 65,78 83,76 40,15 25,14 4,89 0,1595 401  1 210137,5 1
33,77 4022 517 65,78 83,76 40,15 25,14 4,89 0,1595 401  1 70973,109375 1
33,77 4022 1556 41,77 37,06 11,83 25,14 4,89 0,4929 404  1 70973,109375 1
34,66 4022 1556 41,77 37,06 11,83 25,14 4,89 0,4929 404  1 49287,640625 1
34,66 4785 1641 36,32 26,76 11,17 25,14 4,89 0,4929 404  1 49287,640625 1
34,66 4785 1641 36,32 26,76 11,17 25,14 4,89 0,8093 406  2 44896,527344 1
36,24 3978 1549 35,75 25,01 11,89 25,14 4,89 0,8093 406  2 44896,527344 1
36,24 3978 1549 35,75 25,01 11,89 25,14 4,89 1,0745 408  2 46159,394531 1
37,71 3471 1471 35,94 24,59 12,58 25,14 4,89 1,0745 408  2 46159,394531 1
37,71 3471 1471 35,94 24,59 12,58 25,14 4,89 1,2899 409  2 46159,394531 1
38,94 3220 1471 35,94 24,59 12,58 25,14 4,89 1,2899 409  2 48120,300781 1
38,94 3220 1431 35,3 24,62 12,98 25,14 4,89 1,4737 410  2 48120,300781 1
39,84 3220 1431 35,3 24,62 12,98 25,14 4,89 1,4737 410  2 49602,789062 1
39,84 3022 1385 35,12 24,25 13,48 25,14 4,89 1,4737 410  2 49602,789062 1
39,84 3022 1385 35,12 24,25 13,48 25,14 4,89 1,63 411  2 50572,894531 1
40,69 2831 1367 35,32 24,2 13,69 25,14 4,89 1,63 411  2 50572,894531 1
40,69 2831 1367 35,32 24,2 13,69 25,14 4,89 1,7722 411  3 50632,910156 1
41,41 2832 1367 34,57 24,18 13,69 25,14 4,89 1,7722 411  3 50632,910156 1
41,41 2832 1367 34,57 24,18 13,69 25,14 4,89 1,9003 412  3 50632,910156 1
42,05 2871 1367 34,57 24,18 13,69 25,14 4,89 1,9003 412  3 51240,992187 1
42,05 2871 1373 34,87 23,69 13,62 25,14 4,89 2,0057 412  3 51240,992187 1
42,65 2871 1373 34,87 23,69 13,62 25,14 4,89 2,0057 412  3 51738,074219 1
42,65 2749 1353 35,11 23,86 13,87 25,14 4,89 2,0057 412  3 51738,074219 1
42,65 2749 1353 35,11 23,86 13,87 25,14 4,89 2,0982 412  3 52437,527344 1
43,05 2683 1341 34,63 23,86 14,01 25,14 4,89 2,0982 412  3 52437,527344 1
43,05 2683 1341 34,63 23,86 14,01 25,14 4,89 2,1748 412  3 53255,667969 1
43,45 2599 1327 34,84 24,18 14,19 25,14 4,89 2,1748 412  3 53255,667969 1
43,45 2599 1327 34,84 24,18 14,19 25,14 4,89 2,2453 412  3 53255,667969 1
36,04 49 455 59,11 61,96 42,77 25,14 4,89 1,1948 409  3 176430,046875 1
36,04 49 455 59,11 61,96 42,77 25,14 4,89 1,1154 407  3 145330,6875 1
35,74 645 909 51,33 48,69 24,16 25,14 4,89 1,1154 407  3 145330,6875 1
35,74 645 909 51,33 48,69 24,16 25,14 4,89 1,2422 405  3 63054,1875 1
35,99 3236 1434 40,09 29,82 12,98 25,14 4,89 1,2422 405  3 63054,1875 1
