Co2(scd40) raw_signla(sgp40) aiq(ens160) tvoc(ens160) eco2(ens160) rs1(ens160) rs3(ens160) rs4(ens160) rmox(zmod4410) tvoc(zmod4410) eco2(zmod4410) iaq(zmod4410) resistencia(bme688) Aire/muestra
36,47 463 855 414,53 504,44 69,23 25,14 5,35 0,0329 405  1 477278,03125 1
36,47 448 850 419,9 507,87 69,94 25,14 5,35 0,0374 405  1 447846,0625 1
36,74 3147 1419 361,8 294,01 33,7 25,14 5,35 0,0924 406  1 421312,5 1
37,62 5156 1752 295,71 134,12 26,85 25,14 5,35 0,163 407  1 405063,28125 1
38,65 4995 1699 270,07 115,88 27,72 25,14 5,35 0,2325 408  2 392713,3125 1
39,49 4931 1686 253,42 104,98 27,95 25,14 5,35 0,3028 411  2 379189,03125 1
40,23 5047 1716 250,01 99,37 27,43 25,14 5,35 0,4324 414  2 363765,53125 1
40,96 4999 1704 233,1 91,22 27,63 25,14 5,35 0,4913 415  2 358041,96875 1
41,56 4876 1678 225,19 88,36 28,08 25,14 5,35 0,549 416  2 346766,0 1
41,56 4995 1694 222,01 87,17 27,8 25,14 5,35 0,5968 417  2 342246,0 1
42,51 4782 1665 210,88 85,39 28,31 25,14 5,35 0,6526 417  2 340199,34375 1
42,87 4578 1625 206,36 83,28 29,04 25,14 5,35 0,6922 418  2 335847,8125 1
43,21 4464 1620 198,95 81,97 29,14 25,14 5,35 0,744 418  2 334203,65625 1
43,49 4671 1649 194,69 80,97 28,59 25,14 5,35 0,7785 418  2 331928,6875 1
43,67 4428 1615 194,56 80,46 29,24 25,14 5,35 0,8553 418  3 331606,21875 1
43,89 4228 1595 192,33 78,6 29,62 25,14 5,35 0,8849 418  3 331928,6875 1
44,09 4321 1599 188,27 81,17 29,53 25,14 5,35 0,9172 419  3 323436,5 1
44,13 4280 1593 187,38 80,1 29,65 25,14 5,35 0,9399 419  3 324976,1875 1
44,25 4140 1573 184,8 78,57 30,07 25,14 5,35 0,957 419  3 326530,625 1
44,36 4220 1610 185,11 78,17 29,33 25,14 5,35 0,9784 419  3 324976,1875 1
44,38 3978 1549 181,82 77,99 30,57 25,14 5,35 0,9967 419  3 324358,5625 1
44,44 4129 1571 178,47 79,75 30,1 25,14 5,35 1,0154 419  3 324050,625 1
44,44 4142 1573 178,77 76,94 30,06 25,14 5,35 1,0484 419  3 322215,21875 1
44,48 3891 1578 176,31 77,2 29,97 25,14 5,35 1,0659 419  3 317420,96875 1
35,37 379 828 354,89 425,48 73,63 25,14 5,35 0,0763 400  1 445507,9375 1
35,41 2387 831 369,47 415,94 73,01 25,14 5,35 0,0763 400  1 423402,9375 1
35,81 4541 1631 283,17 159,88 28,93 25,14 5,35 0,1329 400  2 402199,53125 1
