Co2(scd40) raw_signla(sgp40) aiq(ens160) tvoc(ens160) eco2(ens160) rs1(ens160) rs3(ens160) rs4(ens160) rmox(zmod4410) tvoc(zmod4410) eco2(zmod4410) iaq(zmod4410) resistencia(bme688) Aire/muestra
30,14 46 453 219,77 362,54 71,54 25,14 4,75 0,0159 400  1 41857,421875 1
30,17 69 554 219,47 343,78 64,92 25,14 4,75 0,0159 400  1 41898,527344 1
30,56 161 642 204,76 325,11 59,73 25,14 4,75 0,0221 400  1 41250,402344 1
31,41 221 719 197,47 315,03 55,56 25,14 4,75 0,0664 401  1 40816,328125 1
32,28 237 737 196,67 301,88 54,61 25,14 4,75 0,1026 401  1 40201,003906 1
33,09 271 774 193,18 295,61 52,75 25,14 4,75 0,142 402  1 39384,617187 1
33,72 282 786 198,55 286,84 52,2 25,14 4,75 0,1827 404  2 39203,675781 1
34,28 295 774 197,21 284,62 52,81 25,14 4,75 0,2227 406  2 38635,675781 1
34,78 281 785 189,55 279,74 52,31 25,14 4,75 0,2628 409  2 38254,632812 1
35,2 304 802 191,55 278,05 51,22 25,14 4,75 0,3015 412  2 38152,011719 1
35,49 296 800 196,08 269,34 51,28 25,14 4,75 0,3386 415  2 37713,613281 1
35,82 284 798 185,99 265,99 51,75 25,14 4,75 0,3726 417  2 37383,175781 1
36,0 271 774 185,55 264,82 52,93 25,14 4,75 0,4357 419  2 37448,800781 1
36,19 268 771 187,89 260,73 53,11 25,14 4,75 0,4646 420  2 37090,699219 1
36,39 283 787 187,32 261,88 52,33 25,14 4,75 0,4917 421  2 36581,878906 1
36,49 291 778 189,87 264,1 52,77 25,14 4,75 0,5168 421  2 36456,851562 1
36,7 288 793 182,13 256,01 52,08 25,14 4,75 0,5398 421  2 36056,339844 1
36,77 270 773 187,19 254,11 53,1 25,14 4,75 0,5613 422  2 36117,382812 1
36,85 268 771 182,56 251,97 53,22 25,14 4,75 0,5812 422  2 35844,300781 1
36,88 260 762 179,44 253,08 53,66 25,14 4,75 0,5995 422  2 35754,191406 1
36,96 272 778 176,61 249,84 52,9 25,14 4,75 0,6317 422  2 35516,09375 1
36,91 277 780 179,2 247,65 52,81 25,14 4,75 0,6464 422  2 35339,589844 1
36,97 277 780 183,0 246,23 52,81 25,14 4,75 0,6601 422  2 35135,878906 1
36,97 275 779 181,27 251,63 52,9 25,14 4,75 0,6728 422  2 34848,898437 1
29,99 54 466 215,2 341,8 71,18 25,14 4,75 0,0316 400  1 39203,675781 1
29,98 69 494 208,53 324,56 69,23 25,14 4,75 0,0309 400  1 39024,390625 1
30,21 168 652 198,82 306,41 59,55 25,14 4,75 0,0406 400  1 38565,832031 1
31,11 227 726 191,94 293,82 55,56 25,14 4,75 0,1153 400  1 38152,011719 1
32,03 293 797 193,18 279,65 51,99 25,14 4,75 0,1635 401  2 37746,976562 1
32,89 288 804 189,74 271,63 51,28 25,14 4,75 0,2119 402  2 36866,359375 1
33,55 324 809 185,74 272,46 50,57 25,14 4,75 0,2588 404  2 36581,878906 1
34,74 328 811 187,38 262,77 50,43 25,14 4,75 0,3021 407  2 36332,671875 1
35,12 319 807 188,91 254,45 50,86 25,14 4,75 0,3436 410  2 35934,867187 1
35,45 319 803 183,12 257,31 51,45 25,14 4,75 0,382 413  2 35814,214844 1
35,79 322 809 186,75 246,98 50,74 25,14 4,75 0,418 414  2 35368,886719 1
35,79 323 809 182,62 251,11 50,71 25,14 4,75 0,4816 417  2 35281,148437 1
36,07 312 805 182,19 246,23 51,22 25,14 4,75 0,5099 418  2 35078,105469 1
36,22 307 803 175,06 249,0 51,47 25,14 4,75 0,536 418  2 34792,0625 1
36,4 292 796 175,95 248,75 52,2 25,14 4,75 0,5603 419  2 34566,566406 1
36,63 304 803 185,49 236,27 51,54 25,14 4,75 0,5825 419  2 34482,757812 1
36,82 308 806 180,23 242,76 51,19 25,14 4,75 0,6028 419  2 34151,546875 1
36,86 303 802 179,44 237,8 51,75 25,14 4,75 0,622 419  2 34015,414062 1
36,99 323 809 179,07 239,82 50,83 25,14 4,75 0,6393 419  2 33988,316406 1
36,93 298 801 175,71 238,2 51,87 25,14 4,75 0,6704 420  2 33746,375 1
37,07 303 802 179,44 233,1 51,78 25,14 4,75 0,684 420  2 33639,949219 1
37,09 282 786 172,88 235,24 52,81 25,14 4,75 0,6964 420  2 33272,679687 1
37,09 305 803 176,97 231,76 51,71 25,14 4,75 0,708 420  3 33220,867187 1
37,02 286 790 175,65 231,37 52,61 25,14 4,75 0,7187 420  3 33220,867187 1
29,79 70 496 217,4 333,69 69,44 25,14 4,75 0,0342 400  1 38254,632812 1
29,76 111 567 201,19 324,78 64,85 25,14 4,75 0,033 400  1 38083,902344 1
29,79 209 704 194,75 301,17 56,95 25,14 4,75 0,0729 400  1 37680,304687 1
30,6 247 748 194,75 287,23 54,63 25,14 4,75 0,1177 400  1 37220,121094 1
31,65 279 802 190,77 273,29 51,75 25,14 4,75 0,1675 401  2 36581,878906 1
32,56 309 804 193,44 269,43 51,45 25,14 4,75 0,216 402  2 36086,832031 1
33,95 326 810 184,36 260,55 50,71 25,14 4,75 0,2631 404  2 35724,253906 1
34,47 338 813 189,62 255,66 50,33 25,14 4,75 0,3078 407  2 35575,320312 1
34,96 344 821 182,62 251,37 49,34 25,14 4,75 0,3498 410  2 35106,964844 1
35,33 327 810 179,74 249,84 50,71 25,14 4,75 0,3886 412  2 35135,878906 1
35,7 340 815 179,26 240,39 50,13 25,14 4,75 0,4579 415  2 34650,785156 1
35,92 346 817 177,63 244,24 49,91 25,14 4,75 0,4887 416  2 34707,160156 1
36,19 332 812 179,99 242,02 50,5 25,14 4,75 0,5169 417  2 34427,113281 1
