Cabecera experimento NoseCris
nº,Co2(scd40),temp(scd40),hum(scd40),raw_signla(sgp40),aiq(ens160),tvoc(ens160),eco2(ens160),rs1(ens160),rs3(ens160),rs4(ens160),temp(ens160),rmox(zmod4410),etoh(zmod4410),tvoc(zmod4410),eco2(zmod4410),iaq(zmod4410),temperatura(bme688),humedad(bme688),presion(bme688),resistencia(bme688),Aire/muestra
 1,2201,35.28,23.44,31624,3,282,802,373.37,404.28,77.54,25.14,5.41,0.1970,0.3704, 491, 2,37.34,20.09,97689.28,480300.187500,0
2,2201,35.28,23.44,31624,3,282,786,376.04,406.89,79.05,25.14,5.41,0.1914,0.3597, 489, 2,37.34,20.09,97689.28,480300.187500,0
3,2202,35.20,23.45,31629,3,282,786,376.04,406.89,79.05,25.14,5.41,0.1914,0.3597, 489, 2,37.31,20.12,97689.80,480638.343750,0
4,2202,35.20,23.45,31629,3,312,805,367.98,405.10,76.89,25.14,5.41,0.1858,0.3493, 487, 2,37.31,20.12,97689.80,480638.343750,0
5,2202,35.20,23.45,31629,3,312,805,367.98,405.10,76.89,25.14,5.41,0.1858,0.3493, 487, 2,37.29,20.14,97689.86,481655.687500,0
6,2202,35.14,23.54,31638,3,274,778,380.13,406.75,79.67,25.14,5.41,0.1858,0.3493, 487, 2,37.29,20.14,97689.86,481655.687500,0
7,2202,35.14,23.54,31638,3,274,778,380.13,406.75,79.67,25.14,5.41,0.1799,0.3383, 485, 2,37.27,20.15,97690.39,482677.343750,0
8,2201,35.09,23.61,31648,3,280,784,370.60,406.34,79.21,25.14,5.41,0.1799,0.3383, 485, 2,37.27,20.15,97690.39,482677.343750,0
9,2201,35.09,23.61,31648,3,280,784,370.60,406.34,79.21,25.14,5.41,0.1749,0.3289, 483, 2,37.27,20.15,97690.39,482677.343750,0
10,2201,35.09,23.61,31648,3,280,784,355.85,408.68,79.21,25.14,5.41,0.1749,0.3289, 483, 2,37.25,20.16,97690.34,482336.312500,0
11,2201,35.09,23.61,31648,3,280,784,355.85,408.68,79.21,25.14,5.41,0.1697,0.3191, 480, 2,37.25,20.16,97690.34,482336.312500,0
12,2205,35.00,23.65,31653,3,280,784,355.85,408.68,79.21,25.14,5.41,0.1697,0.3191, 480, 2,37.23,20.16,97690.55,480638.343750,0
13,2205,35.00,23.65,31653,3,284,801,364.14,420.47,77.80,25.14,5.41,0.1646,0.3095, 478, 2,37.23,20.16,97690.55,480638.343750,0
14,2205,35.00,23.65,31653,3,284,801,364.14,420.47,77.80,25.14,5.41,0.1646,0.3095, 478, 2,37.21,20.20,97690.67,484389.781250,0
15,2207,34.95,23.69,31661,3,305,803,369.47,412.02,77.44,25.14,5.41,0.1646,0.3095, 478, 2,37.21,20.20,97690.67,484389.781250,0
16,2207,34.95,23.69,31661,3,305,803,369.47,412.02,77.44,25.14,5.41,0.1593,0.2995, 476, 2,37.19,20.22,97690.77,484389.781250,0
17,2207,34.91,23.80,31664,3,296,800,382.58,418.48,78.02,25.14,5.41,0.1593,0.2995, 476, 2,37.19,20.22,97690.77,484389.781250,0
18,2207,34.91,23.80,31664,3,296,800,382.58,418.48,78.02,25.14,5.41,0.1544,0.2902, 473, 2,37.17,20.24,97691.24,483703.343750,0
19,2208,34.87,23.80,31670,3,295,799,377.82,410.90,78.09,25.14,5.41,0.1544,0.2902, 473, 2,37.17,20.24,97691.24,483703.343750,0
20,2208,34.87,23.80,31670,3,295,799,377.82,410.90,78.09,25.14,5.41,0.1501,0.2822, 470, 2,37.17,20.24,97691.24,483703.343750,0
21,2208,34.82,23.81,31675,3,295,799,377.82,410.90,78.09,25.14,5.41,0.1501,0.2822, 470, 2,37.15,20.26,97691.38,482336.312500,0
22,2208,34.82,23.81,31675,3,294,798,380.13,413.69,76.42,25.14,5.41,0.1457,0.2739, 468, 2,37.15,20.26,97691.38,482336.312500,0
23,2208,34.80,23.89,31678,3,294,798,380.13,413.69,76.42,25.14,5.41,0.1457,0.2739, 468, 2,37.13,20.28,97691.56,485078.156250,0
24,2208,34.80,23.89,31678,3,298,800,372.11,415.66,77.94,25.14,5.41,0.1457,0.2739, 468, 2,37.13,20.28,97691.56,485078.156250,0
25,2208,34.80,23.89,31678,3,298,800,372.11,415.66,77.94,25.14,5.41,0.1406,0.2644, 465, 2,37.10,20.33,97691.65,484733.718750,0
26,2211,34.78,23.94,31679,3,297,800,365.74,412.71,77.99,25.14,5.41,0.1406,0.2644, 465, 2,37.10,20.33,97691.65,484733.718750,0
27,2211,34.78,23.94,31679,3,297,800,365.74,412.71,77.99,25.14,5.41,0.1361,0.2558, 463, 2,37.08,20.34,97691.15,483360.875000,0
28,2215,34.74,23.89,31677,3,283,786,371.73,422.04,79.05,25.14,5.41,0.1361,0.2558, 463, 2,37.08,20.34,97691.15,483360.875000,0
29,2215,34.74,23.89,31677,3,283,786,371.73,422.04,79.05,25.14,5.41,0.1322,0.2485, 460, 2,37.08,20.34,97691.15,483360.875000,0
30,2215,34.69,23.94,31679,3,292,786,371.73,422.04,79.05,25.14,5.41,0.1322,0.2485, 460, 2,37.06,20.35,97690.80,483018.875000,0
31,2215,34.69,23.94,31679,3,292,796,369.85,418.20,78.33,25.14,5.41,0.1286,0.2418, 458, 2,37.06,20.35,97690.80,483018.875000,0
32,2219,34.71,23.96,31680,3,292,796,369.85,418.20,78.33,25.14,5.41,0.1286,0.2418, 458, 2,37.04,20.39,97690.63,485768.500000,0
33,2219,34.71,23.96,31680,3,317,793,364.75,416.22,78.54,25.14,5.41,0.1286,0.2418, 458, 2,37.04,20.39,97690.63,485768.500000,0
34,2219,34.71,23.96,31680,3,317,793,364.75,416.22,78.54,25.14,5.41,0.1246,0.2342, 455, 2,37.02,20.39,97691.11,486114.406250,0
