Cabecera experimento NoseCris
nº ,Co2(scd40),temp(scd40),hum(scd40),raw_signla(sgp40),aiq(ens160),tvoc(ens160),eco2(ens160),rs1(ens160),rs3(ens160),rs4(ens160),temp(ens160),rmox(zmod4410),etoh(zmod4410),tvoc(zmod4410),eco2(zmod4410),iaq(zmod4410),temperatura(bme688),humedad(bme688),presion(bme688),resistencia(bme688),Aire/muestra
 1,1396,29.88,30.17,32495,3,377,827,413.69,404.28,72.39,25.14,5.33,0.0084,0.0159, 400, 1,32.70,25.36,94947.62,410914.937500,0
2,1397,29.88,30.15,32495,3,391,832,420.75,405.93,71.61,25.14,5.33,0.0084,0.0159, 400, 1,32.70,25.36,94947.62,410914.937500,0
3,1397,29.88,30.15,32495,3,391,832,420.75,405.93,71.61,25.14,5.33,0.0084,0.0159, 400, 1,32.69,25.38,94947.48,411906.687500,0
4,1396,29.85,30.13,32500,3,420,831,418.20,396.69,71.78,25.14,5.33,0.0084,0.0159, 400, 1,32.69,25.38,94947.48,411906.687500,0
5,1396,29.85,30.13,32500,3,420,831,418.20,396.69,71.78,25.14,5.33,0.0084,0.0159, 400, 1,32.68,25.37,94947.41,414407.125000,0
6,1397,29.88,30.19,32499,3,418,840,418.20,398.58,70.15,25.14,5.33,0.0084,0.0159, 400, 1,32.68,25.37,94947.41,414407.125000,0
7,1397,29.88,30.19,32499,3,418,840,418.20,398.58,70.15,25.14,5.33,0.0084,0.0159, 400, 1,32.68,25.37,94947.41,414407.125000,0
8,1397,29.84,30.23,32497,3,418,840,418.20,398.58,70.15,25.14,5.33,0.0084,0.0159, 400, 1,32.67,25.37,94947.83,414910.843750,0
9,1397,29.84,30.23,32497,3,366,824,413.27,397.09,73.01,25.14,5.33,0.0084,0.0159, 400, 1,32.67,25.37,94947.83,414910.843750,0
10,1398,29.82,30.25,32496,3,366,824,413.27,397.09,73.01,25.14,5.33,0.0084,0.0159, 400, 1,32.66,25.42,94948.34,411906.687500,0
11,1398,29.82,30.25,32496,3,400,835,417.07,407.30,71.11,25.14,5.33,0.0084,0.0159, 400, 1,32.66,25.42,94948.34,411906.687500,0
12,1398,29.82,30.25,32496,3,400,835,417.07,407.30,71.11,25.14,5.33,0.0084,0.0159, 400, 1,32.65,25.42,94948.45,414155.718750,0
13,1398,29.82,30.25,32501,3,405,836,418.06,404.83,70.84,25.14,5.33,0.0084,0.0159, 400, 1,32.65,25.42,94948.45,414155.718750,0
14,1398,29.82,30.25,32501,3,405,836,418.06,404.83,70.84,25.14,5.33,0.0084,0.0159, 400, 1,32.64,25.46,94949.20,412155.375000,0
15,1399,29.85,30.25,32501,3,365,831,412.30,404.01,71.76,25.14,5.33,0.0084,0.0159, 400, 1,32.64,25.46,94949.20,412155.375000,0
16,1399,29.85,30.25,32501,3,365,831,412.30,404.01,71.76,25.14,5.33,0.0084,0.0159, 400, 1,32.64,25.46,94949.20,412155.375000,0
17,1399,29.85,30.24,32506,3,354,831,412.30,404.01,71.76,25.14,5.33,0.0084,0.0159, 400, 1,32.64,25.43,94948.77,415668.750000,0
18,1399,29.85,30.24,32506,3,354,820,419.90,403.05,73.73,25.14,5.33,0.0084,0.0159, 400, 1,32.64,25.43,94948.77,415668.750000,0
19,1400,29.81,30.27,32503,3,354,820,419.90,403.05,73.73,25.14,5.33,0.0084,0.0159, 400, 1,32.63,25.46,94948.99,414407.125000,0
20,1400,29.81,30.27,32503,3,402,835,428.51,408.82,71.01,25.14,5.33,0.0084,0.0159, 400, 1,32.63,25.46,94948.99,414407.125000,0
21,1400,29.81,30.27,32503,3,402,835,428.51,408.82,71.01,25.14,5.33,0.0084,0.0159, 400, 1,32.62,25.49,94948.61,415922.000000,0
22,1401,29.83,30.31,32505,3,362,822,420.75,407.16,73.26,25.14,5.33,0.0084,0.0159, 400, 1,32.62,25.49,94948.61,415922.000000,0
23,1401,29.83,30.31,32505,3,362,822,420.75,407.16,73.26,25.14,5.33,0.0084,0.0159, 400, 1,32.61,25.52,94948.81,414155.718750,0
24,1402,29.82,30.34,32503,3,393,821,416.64,406.75,73.53,25.14,5.33,0.0084,0.0159, 400, 1,32.61,25.52,94948.81,414155.718750,0
25,1402,29.82,30.34,32503,3,393,821,416.64,406.75,73.53,25.14,5.33,0.0084,0.0159, 400, 1,32.61,25.52,94948.81,414155.718750,0
26,1405,29.82,30.26,32499,3,370,821,416.64,406.75,73.53,25.14,5.33,0.0084,0.0159, 400, 1,32.61,25.50,94948.73,414658.843750,0
27,1405,29.82,30.26,32499,3,370,825,414.25,400.87,72.79,25.14,5.33,0.0084,0.0159, 400, 1,32.61,25.50,94948.73,414658.843750,0
28,1406,29.83,30.33,32500,3,370,825,414.25,400.87,72.79,25.14,5.33,0.0084,0.0159, 400, 1,32.60,25.50,94949.27,413653.812500,0
29,1406,29.83,30.33,32500,3,395,833,420.61,407.44,71.39,25.14,5.33,0.0084,0.0159, 400, 1,32.60,25.50,94949.27,413653.812500,0
30,1406,29.83,30.33,32500,3,395,833,420.61,407.44,71.39,25.14,5.33,0.0084,0.0159, 400, 1,32.59,25.52,94949.20,414658.843750,0
31,1406,29.81,30.32,32497,3,393,832,416.08,407.58,71.47,25.14,5.33,0.0084,0.0159, 400, 1,32.59,25.52,94949.20,414658.843750,0
32,1406,29.81,30.32,32497,3,393,832,416.08,407.58,71.47,25.14,5.33,0.0084,0.0159, 400, 1,32.59,25.52,94949.35,415163.187500,0
33,1406,29.81,30.30,32496,3,356,829,419.33,409.79,72.00,25.14,5.33,0.0084,0.0159, 400, 1,32.59,25.52,94949.35,415163.187500,0
34,1406,29.81,30.30,32496,3,356,829,419.33,409.79,72.00,25.14,5.33,0.0084,0.0159, 400, 1,32.59,25.52,94949.35,415163.187500,0
35,1405,29.84,30.30,32502,3,373,829,419.33,409.79,72.00,25.14,5.33,0.0084,0.0159, 400, 1,32.58,25.53,94949.67,414658.843750,0
36,1405,29.84,30.30,32502,3,373,826,430.40,402.37,72.64,25.14,5.33,0.0084,0.0159, 400, 1,32.58,25.53,94949.67,414658.843750,0
37,1405,29.83,30.30,32502,3,373,826,430.40,402.37,72.64,25.14,5.33,0.0084,0.0159, 400, 1,32.58,25.53,94949.92,412155.375000,0
38,1405,29.83,30.30,32502,3,402,835,423.33,395.89,71.01,25.14,5.33,0.0084,0.0159, 400, 1,32.58,25.53,94949.92,412155.375000,0
39,1405,29.83,30.30,32502,3,402,835,423.33,395.89,71.01,25.14,5.33,0.0084,0.0159, 400, 1,32.57,25.57,94949.90,416429.437500,0
40,1405,29.82,30.29,32499,3,389,831,425.19,413.83,71.69,25.14,5.33,0.0084,0.0159, 400, 1,32.57,25.57,94949.90,416429.437500,0
41,1405,29.82,30.29,32499,3,389,831,425.19,413.83,71.69,25.14,5.33,0.0084,0.0159, 400, 1,32.57,25.55,94950.58,413653.812500,0
42,1405,29.82,30.29,32501,3,389,831,428.22,407.58,71.71,25.14,5.33,0.0084,0.0159, 400, 1,32.57,25.55,94950.58,413653.812500,0
43,1405,29.82,30.29,32501,3,389,831,428.22,407.58,71.71,25.14,5.33,0.0084,0.0159, 400, 1,32.57,25.55,94950.58,413653.812500,0
44,1405,29.85,30.30,32507,3,402,831,428.22,407.58,71.71,25.14,5.33,0.0084,0.0159, 400, 1,32.56,25.54,94950.86,414658.843750,0
45,1405,29.85,30.30,32507,3,402,835,428.80,410.07,71.01,25.14,5.33,0.0084,0.0159, 400, 1,32.56,25.54,94950.86,414658.843750,0
46,1404,29.84,30.31,32513,3,402,835,428.80,410.07,71.01,25.14,5.33,0.0084,0.0159, 400, 1,32.56,25.58,94951.48,414155.718750,0
47,1404,29.84,30.31,32513,3,366,824,420.61,408.13,73.01,25.14,5.33,0.0084,0.0159, 400, 1,32.56,25.58,94951.48,414155.718750,0
48,1404,29.84,30.31,32513,3,366,824,420.61,408.13,73.01,25.14,5.33,0.0084,0.0159, 400, 1,32.55,25.57,94951.50,414658.843750,0
49,1404,29.83,30.27,32506,3,348,843,420.75,405.51,69.70,25.14,5.33,0.0084,0.0159, 400, 1,32.55,25.57,94951.50,414658.843750,0
50,1404,29.83,30.27,32506,3,348,843,420.75,405.51,69.70,25.14,5.33,0.0084,0.0159, 400, 1,32.55,25.56,94951.36,410914.937500,0
51,1403,29.84,30.33,32505,3,405,836,428.51,412.58,70.84,25.14,5.33,0.0084,0.0159, 400, 1,32.55,25.56,94951.36,410914.937500,0
52,1403,29.84,30.33,32505,3,405,836,428.51,412.58,70.84,25.14,5.33,0.0084,0.0159, 400, 1,32.55,25.56,94951.36,410914.937500,0
53,1404,29.84,30.35,32505,3,401,836,428.51,412.58,70.84,25.14,5.33,0.0084,0.0159, 400, 1,32.55,25.58,94951.91,417448.031250,0
54,1404,29.84,30.35,32505,3,401,835,421.04,412.71,71.06,25.14,5.33,0.0084,0.0159, 400, 1,32.55,25.58,94951.91,417448.031250,0
55,1404,29.85,30.34,32504,3,401,835,421.04,412.71,71.06,25.14,5.33,0.0084,0.0159, 400, 1,32.54,25.58,94952.00,415415.812500,0
56,1404,29.85,30.34,32504,3,393,832,430.84,413.27,71.49,25.14,5.33,0.0084,0.0159, 400, 1,32.54,25.58,94952.00,415415.812500,0
57,1404,29.85,30.34,32504,3,393,832,430.84,413.27,71.49,25.14,5.33,0.0084,0.0159, 400, 1,32.54,25.59,94952.37,416175.562500,0
58,1405,29.85,30.33,32503,3,404,834,428.22,409.10,71.27,25.14,5.33,0.0084,0.0159, 400, 1,32.54,25.59,94952.37,416175.562500,0
59,1405,29.85,30.33,32503,3,404,834,428.22,409.10,71.27,25.14,5.33,0.0084,0.0159, 400, 1,32.54,25.59,94952.78,414407.125000,0
60,1404,29.86,30.34,32506,3,408,837,425.34,408.96,70.70,25.14,5.33,0.0084,0.0159, 400, 1,32.54,25.59,94952.78,414407.125000,1
61,1404,29.86,30.34,32506,3,408,837,425.34,408.96,70.70,25.14,5.33,0.0084,0.0159, 400, 1,32.54,25.59,94952.78,414407.125000,1
62,1404,29.89,30.31,32504,3,378,837,425.34,408.96,70.70,25.14,5.33,0.0084,0.0159, 400, 1,32.54,25.61,94953.44,417448.031250,1
63,1404,29.89,30.31,32504,3,378,827,425.91,412.58,72.34,25.14,5.33,0.0084,0.0159, 400, 1,32.54,25.61,94953.44,417448.031250,1
64,1404,29.87,30.37,32521,3,378,827,425.91,412.58,72.34,25.14,5.33,0.0084,0.0159, 400, 1,32.53,25.65,94953.59,413403.312500,1
65,1404,29.87,30.37,32521,3,371,825,428.22,415.80,72.74,25.14,5.33,0.0084,0.0159, 400, 1,32.53,25.65,94953.59,413403.312500,1
66,1404,29.87,30.37,32521,3,371,825,428.22,415.80,72.74,25.14,5.33,0.0084,0.0159, 400, 1,32.53,25.73,94954.32,415922.000000,1
67,1405,29.89,30.36,32540,3,382,824,422.32,408.27,72.91,25.14,5.33,0.0084,0.0159, 400, 1,32.53,25.73,94954.32,415922.000000,1
68,1405,29.89,30.36,32540,3,382,824,422.32,408.27,72.91,25.14,5.33,0.0084,0.0159, 400, 1,32.53,25.80,94954.40,412155.375000,1
69,1405,29.89,30.36,32546,3,368,824,425.05,405.93,72.93,25.14,5.33,0.0084,0.0159, 400, 1,32.53,25.80,94954.40,412155.375000,1
70,1405,29.89,30.36,32546,3,368,824,425.05,405.93,72.93,25.14,5.33,0.0084,0.0159, 400, 1,32.53,25.80,94954.40,412155.375000,1
71,1406,29.95,30.41,32558,3,347,824,425.05,405.93,72.93,25.14,5.33,0.0084,0.0159, 400, 1,32.52,25.82,94954.41,412903.218750,1
72,1406,29.95,30.41,32558,3,347,817,426.20,404.42,74.18,25.14,5.33,0.0084,0.0159, 400, 1,32.52,25.82,94954.41,412903.218750,1
73,1406,30.01,30.35,32553,3,347,817,426.20,404.42,74.18,25.14,5.33,0.0084,0.0159, 400, 1,32.52,25.87,94954.29,413153.125000,1
74,1406,30.01,30.35,32553,3,386,830,421.47,397.77,71.86,25.14,5.33,0.0084,0.0159, 400, 1,32.52,25.87,94954.29,413153.125000,1
75,1406,30.01,30.35,32553,3,386,830,421.47,397.77,71.86,25.14,5.33,0.0084,0.0159, 400, 1,32.52,25.88,94954.72,412653.625000,1
76,1406,30.05,30.29,32549,3,353,830,418.76,392.82,71.90,25.14,5.33,0.0084,0.0159, 400, 1,32.52,25.88,94954.72,412653.625000,1
77,1406,30.05,30.29,32549,3,353,830,418.76,392.82,71.90,25.14,5.33,0.0084,0.0159, 400, 1,32.52,25.87,94955.32,412155.375000,1
78,1407,30.12,30.28,32549,3,409,837,418.91,393.88,70.65,25.14,5.33,0.0084,0.0159, 400, 1,32.52,25.87,94955.32,412155.375000,1
79,1407,30.12,30.28,32549,3,409,837,418.91,393.88,70.65,25.14,5.33,0.0085,0.0159, 400, 1,32.52,25.87,94955.32,412155.375000,1
80,1407,30.18,30.16,32547,3,376,837,418.91,393.88,70.65,25.14,5.33,0.0085,0.0159, 400, 1,32.53,25.88,94955.91,409436.218750,1
81,1407,30.18,30.16,32547,3,376,827,429.39,395.89,72.44,25.14,5.33,0.0088,0.0166, 400, 1,32.53,25.88,94955.91,409436.218750,1
82,1408,30.26,30.13,32546,3,376,827,429.39,395.89,72.44,25.14,5.33,0.0088,0.0166, 400, 1,32.54,25.89,94956.78,408700.843750,1
83,1408,30.26,30.13,32546,3,386,830,412.71,388.59,71.90,25.14,5.33,0.0088,0.0166, 400, 1,32.54,25.89,94956.78,408700.843750,1
84,1408,30.26,30.13,32546,3,386,830,412.71,388.59,71.90,25.14,5.33,0.0091,0.0170, 400, 1,32.54,25.85,94957.05,408456.312500,1
85,1409,30.30,30.10,32540,3,410,832,417.49,392.95,71.49,25.14,5.33,0.0091,0.0170, 400, 1,32.54,25.85,94957.05,408456.312500,1
86,1409,30.30,30.10,32540,3,410,832,417.49,392.95,71.49,25.14,5.33,0.0092,0.0173, 400, 1,32.55,25.80,94957.11,408456.312500,1
87,1408,30.38,30.09,32536,3,405,836,422.18,383.10,70.82,25.14,5.33,0.0092,0.0173, 400, 1,32.55,25.80,94957.11,408456.312500,1
88,1408,30.38,30.09,32536,3,405,836,422.18,383.10,70.82,25.14,5.33,0.0097,0.0182, 400, 1,32.55,25.80,94957.11,408456.312500,1
89,1409,30.41,29.97,32527,3,391,836,422.18,383.10,70.82,25.14,5.33,0.0097,0.0182, 400, 1,32.57,25.80,94957.89,411906.687500,1
90,1409,30.41,29.97,32527,3,391,832,412.02,385.31,71.59,25.14,5.33,0.0102,0.0192, 400, 1,32.57,25.80,94957.89,411906.687500,1
91,1411,30.47,29.95,32523,3,391,832,412.02,385.31,71.59,25.14,5.33,0.0102,0.0192, 400, 1,32.58,25.79,94958.13,408945.687500,1
92,1411,30.47,29.95,32523,3,382,829,412.44,380.64,72.10,25.14,5.33,0.0102,0.0192, 400, 1,32.58,25.79,94958.13,408945.687500,1
93,1411,30.47,29.95,32523,3,382,829,412.44,380.64,72.10,25.14,5.33,0.0104,0.0196, 400, 1,32.60,25.77,94958.47,406752.718750,1
94,1413,30.54,29.90,32522,3,411,835,417.35,383.75,71.08,25.14,5.33,0.0104,0.0196, 400, 1,32.60,25.77,94958.47,406752.718750,1
95,1413,30.54,29.90,32522,3,411,835,417.35,383.75,71.08,25.14,5.33,0.0109,0.0206, 400, 1,32.62,25.74,94958.93,410174.250000,1
96,1414,30.60,29.79,32515,3,370,825,417.92,384.27,72.81,25.14,5.33,0.0109,0.0206, 400, 1,32.62,25.74,94958.93,410174.250000,1
97,1414,30.60,29.79,32515,3,370,825,417.92,384.27,72.81,25.14,5.33,0.0111,0.0209, 400, 1,32.62,25.74,94958.93,410174.250000,1
98,1414,30.60,29.79,32516,3,391,825,417.92,384.27,72.81,25.14,5.33,0.0111,0.0209, 400, 1,32.64,25.66,94959.41,406995.218750,1
99,1414,30.60,29.79,32516,3,391,832,415.66,380.77,71.59,25.14,5.33,0.0117,0.0220, 400, 1,32.64,25.66,94959.41,406995.218750,1
100,1415,30.67,29.69,32520,3,391,832,415.66,380.77,71.59,25.14,5.33,0.0117,0.0220, 400, 1,32.66,25.62,94959.83,407238.031250,1
101,1415,30.67,29.69,32520,3,384,829,417.07,379.49,72.00,25.14,5.33,0.0117,0.0220, 400, 1,32.66,25.62,94959.83,407238.031250,1
102,1415,30.67,29.69,32520,3,384,829,417.07,379.49,72.00,25.14,5.33,0.0120,0.0225, 400, 1,32.69,25.60,94960.97,406752.718750,1
103,1416,30.72,29.65,32519,3,358,821,413.13,377.05,73.50,25.14,5.33,0.0120,0.0225, 400, 1,32.69,25.60,94960.97,406752.718750,1
104,1416,30.72,29.65,32519,3,358,821,413.13,377.05,73.50,25.14,5.33,0.0122,0.0230, 400, 1,32.71,25.57,94961.13,407724.468750,1
105,1416,30.75,29.65,32522,3,331,812,408.96,381.55,75.21,25.14,5.33,0.0122,0.0230, 400, 1,32.71,25.57,94961.13,407724.468750,1
106,1416,30.75,29.65,32522,3,331,812,408.96,381.55,75.21,25.14,5.33,0.0122,0.0229, 401, 1,32.71,25.57,94961.13,407724.468750,1
107,1417,30.82,29.59,32521,3,356,812,408.96,381.55,75.21,25.14,5.33,0.0122,0.0229, 401, 1,32.74,25.54,94961.12,404104.187500,1
108,1417,30.82,29.59,32521,3,356,820,412.99,368.98,73.65,25.14,5.33,0.0126,0.0238, 401, 1,32.74,25.54,94961.12,404104.187500,1
109,1417,30.87,29.47,32493,3,356,820,412.99,368.98,73.65,25.14,5.33,0.0126,0.0238, 401, 1,32.76,25.78,94961.86,403626.343750,1
110,1417,30.87,29.47,32493,3,356,820,403.46,369.22,73.13,25.14,5.33,0.0126,0.0238, 401, 1,32.76,25.78,94961.86,403626.343750,1
111,1417,30.87,29.47,32493,3,356,820,403.46,369.22,73.13,25.14,5.33,0.0143,0.0270, 401, 1,32.79,26.19,94962.54,404104.187500,1
112,1417,30.90,29.62,32466,3,418,841,403.19,349.05,70.15,25.14,5.33,0.0143,0.0270, 401, 1,32.79,26.19,94962.54,404104.187500,1
113,1417,30.90,29.62,32466,3,418,841,403.19,349.05,70.15,25.14,5.33,0.0179,0.0336, 401, 1,32.82,26.34,94963.50,397979.000000,1
114,1417,30.99,29.74,32440,3,423,842,393.75,327.42,69.91,25.14,5.33,0.0179,0.0336, 401, 1,32.82,26.34,94963.50,397979.000000,1
115,1417,30.99,29.74,32440,3,423,842,393.75,327.42,69.91,25.14,5.33,0.0247,0.0464, 401, 1,32.82,26.34,94963.50,397979.000000,1
116,1417,31.01,29.83,32423,3,459,842,393.75,327.42,69.91,25.14,5.33,0.0247,0.0464, 401, 1,32.85,26.36,94964.42,398211.156250,1
117,1417,31.01,29.83,32423,3,459,854,394.95,316.74,68.11,25.14,5.33,0.0342,0.0642, 402, 1,32.85,26.36,94964.42,398211.156250,1
