Cabecera experimento NoseCris
nº,Co2(scd40),temp(scd40),hum(scd40),raw_signla(sgp40),aiq(ens160),tvoc(ens160),eco2(ens160),rs1(ens160),rs3(ens160),rs4(ens160),temp(ens160),rmox(zmod4410),etoh(zmod4410),tvoc(zmod4410),eco2(zmod4410),iaq(zmod4410),temperatura(bme688),humedad(bme688),presion(bme688),resistencia(bme688),Aire/muestra
 1,1114,30.03,37.20,31400,3,244,744,393.48,499.52,82.80,25.14,5.39,0.0493,0.0927, 408, 1,32.84,31.56,96603.91,436394.625000,0
2,1114,30.03,37.20,31400,3,238,738,404.42,485.52,83.28,25.14,5.39,0.0520,0.0977, 409, 1,32.84,31.56,96603.91,436394.625000,0
3,1115,30.04,36.90,31359,3,238,738,404.42,485.52,83.28,25.14,5.39,0.0520,0.0977, 409, 1,32.84,30.80,96604.16,437513.343750,0
4,1115,30.04,36.90,31359,3,266,769,397.63,495.31,80.86,25.14,5.39,0.0520,0.0977, 409, 1,32.84,30.80,96604.16,437513.343750,0
5,1115,30.04,36.90,31359,3,266,769,397.63,495.31,80.86,25.14,5.39,0.0541,0.1017, 410, 2,32.84,30.24,96604.37,441760.125000,0
6,1115,30.04,36.54,31302,3,267,767,406.89,495.14,81.03,25.14,5.39,0.0541,0.1017, 410, 2,32.84,30.24,96604.37,441760.125000,0
7,1115,30.04,36.54,31302,3,267,767,406.89,495.14,81.03,25.14,5.39,0.0559,0.1050, 411, 2,32.84,29.86,96604.20,440904.187500,0
8,1115,30.04,36.54,31281,3,271,774,396.96,500.19,80.54,25.14,5.39,0.0559,0.1050, 411, 2,32.84,29.86,96604.20,440904.187500,0
9,1115,30.04,36.54,31281,3,271,774,396.96,500.19,80.54,25.14,5.39,0.0570,0.1071, 412, 2,32.84,29.86,96604.20,440904.187500,0
10,1114,30.02,36.34,31274,3,249,774,396.96,500.19,80.54,25.14,5.39,0.0570,0.1071, 412, 2,32.85,29.60,96604.41,440051.562500,0
11,1114,30.02,36.34,31274,3,249,751,404.28,496.32,82.27,25.14,5.39,0.0574,0.1079, 412, 2,32.85,29.60,96604.41,440051.562500,0
12,1115,30.00,36.10,31287,3,249,751,404.28,496.32,82.27,25.14,5.39,0.0574,0.1079, 412, 2,32.85,29.45,96604.08,440904.187500,0
13,1115,30.00,36.10,31287,3,255,757,406.34,498.17,81.80,25.14,5.39,0.0574,0.1079, 412, 2,32.85,29.45,96604.08,440904.187500,0
14,1115,30.00,36.10,31287,3,255,757,406.34,498.17,81.80,25.14,5.39,0.0580,0.1090, 413, 2,32.85,29.42,96604.10,439202.218750,0
15,1115,30.02,35.94,31311,3,254,739,402.10,492.80,83.20,25.14,5.39,0.0580,0.1090, 413, 2,32.85,29.42,96604.10,439202.218750,1
16,1115,30.02,35.94,31311,3,254,739,402.10,492.80,83.20,25.14,5.39,0.0586,0.1102, 414, 2,32.85,29.34,96603.74,442619.406250,1
17,1116,30.02,35.76,31282,3,242,743,387.14,482.73,82.89,25.14,5.39,0.0586,0.1102, 414, 2,32.85,29.34,96603.74,442619.406250,1
18,1116,30.02,35.76,31282,3,242,743,387.14,482.73,82.89,25.14,5.39,0.0619,0.1163, 415, 2,32.85,29.34,96603.74,442619.406250,1
19,1115,30.03,35.72,31207,3,271,743,387.14,482.73,82.89,25.14,5.39,0.0619,0.1163, 415, 2,32.85,30.46,96603.37,434727.218750,1
20,1115,30.03,35.72,31207,3,271,774,376.54,440.57,80.54,25.14,5.39,0.0672,0.1263, 416, 2,32.85,30.46,96603.37,434727.218750,1
21,1115,30.03,36.14,31168,3,271,774,376.54,440.57,80.54,25.14,5.39,0.0672,0.1263, 416, 2,32.85,31.16,96602.63,430342.500000,1
22,1115,30.03,36.14,31168,3,263,766,343.66,399.66,81.14,25.14,5.39,0.0672,0.1263, 416, 2,32.85,31.16,96602.63,430342.500000,1
23,1115,30.03,36.14,31168,3,263,766,343.66,399.66,81.14,25.14,5.39,0.0729,0.1370, 417, 2,32.85,31.22,96602.34,429800.625000,1
24,1115,30.09,36.37,31126,3,283,801,328.09,356.09,78.25,25.14,5.39,0.0729,0.1370, 417, 2,32.85,31.22,96602.34,429800.625000,1
25,1115,30.09,36.37,31126,3,283,801,328.09,356.09,78.25,25.14,5.39,0.0801,0.1505, 418, 2,32.85,31.12,96602.47,426577.781250,1
26,1116,30.13,36.41,31066,3,290,794,314.50,336.18,79.05,25.14,5.39,0.0801,0.1505, 418, 2,32.85,31.12,96602.47,426577.781250,1
27,1116,30.13,36.41,31066,3,290,794,314.50,336.18,79.05,25.14,5.39,0.0880,0.1655, 420, 2,32.85,31.12,96602.47,426577.781250,1
28,1116,30.20,36.33,30985,3,293,794,314.50,336.18,79.05,25.14,5.39,0.0880,0.1655, 420, 2,32.86,30.92,96602.52,421312.500000,1
29,1116,30.20,36.33,30985,3,293,797,300.55,323.13,78.84,25.14,5.39,0.0962,0.1809, 421, 2,32.86,30.92,96602.52,421312.500000,1
30,1116,30.28,36.22,30755,3,293,797,300.55,323.13,78.84,25.14,5.39,0.0962,0.1809, 421, 2,32.87,30.78,96602.66,422093.968750,1
31,1116,30.28,36.22,30755,3,314,806,294.61,308.80,77.31,25.14,5.39,0.0962,0.1809, 421, 2,32.87,30.78,96602.66,422093.968750,1
32,1116,30.28,36.22,30755,3,314,806,294.61,308.80,77.31,25.14,5.39,0.1048,0.1971, 423, 2,32.88,30.60,96602.83,415922.000000,1
33,1116,30.36,36.10,30709,3,323,801,287.91,299.64,78.25,25.14,5.39,0.1048,0.1971, 423, 2,32.88,30.60,96602.83,415922.000000,1
34,1116,30.36,36.10,30709,3,323,801,287.91,299.64,78.25,25.14,5.39,0.1141,0.2144, 424, 2,32.89,30.45,96602.89,414658.843750,1
35,1116,30.44,35.97,30654,3,311,805,287.23,299.23,77.51,25.14,5.39,0.1141,0.2144, 424, 2,32.89,30.45,96602.89,414658.843750,1
36,1116,30.44,35.97,30654,3,311,805,287.23,299.23,77.51,25.14,5.39,0.1236,0.2324, 426, 2,32.89,30.45,96602.89,414658.843750,1
37,1116,30.44,35.97,30588,3,321,805,287.23,299.23,77.51,25.14,5.39,0.1236,0.2324, 426, 2,32.90,30.25,96603.12,414407.125000,1
38,1116,30.44,35.97,30588,3,321,808,280.22,284.90,76.81,25.14,5.39,0.1340,0.2518, 429, 2,32.90,30.25,96603.12,414407.125000,1
39,1115,30.51,35.70,30520,3,321,808,280.22,284.90,76.81,25.14,5.39,0.1340,0.2518, 429, 2,32.92,30.13,96603.33,412653.625000,1
40,1115,30.51,35.70,30520,3,306,803,280.12,287.23,77.91,25.14,5.39,0.1340,0.2518, 429, 2,32.92,30.13,96603.33,412653.625000,1
41,1115,30.51,35.70,30520,3,306,803,280.12,287.23,77.91,25.14,5.39,0.1451,0.2728, 431, 2,32.93,29.99,96603.17,412903.218750,1
42,1115,30.57,35.60,30462,3,323,798,273.38,282.12,78.76,25.14,5.39,0.1451,0.2728, 431, 2,32.93,29.99,96603.17,412903.218750,1
43,1115,30.57,35.60,30462,3,323,798,273.38,282.12,78.76,25.14,5.39,0.1545,0.2904, 434, 2,32.95,29.87,96603.30,407968.125000,1
44,1115,30.69,35.37,30410,3,309,804,268.70,284.81,77.65,25.14,5.39,0.1545,0.2904, 434, 2,32.95,29.87,96603.30,407968.125000,1
45,1115,30.69,35.37,30410,3,309,804,268.70,284.81,77.65,25.14,5.39,0.1645,0.3092, 436, 2,32.95,29.87,96603.30,407968.125000,1
46,1115,30.74,35.19,30363,3,331,804,268.70,284.81,77.65,25.14,5.39,0.1645,0.3092, 436, 2,32.98,29.70,96603.24,407724.468750,1
47,1115,30.74,35.19,30363,3,331,812,265.99,285.10,76.16,25.14,5.39,0.1746,0.3283, 439, 2,32.98,29.70,96603.24,407724.468750,1
48,1115,30.82,35.01,30319,3,331,812,265.99,285.10,76.16,25.14,5.39,0.1746,0.3283, 439, 2,33.00,29.61,96603.22,405303.781250,1
49,1115,30.82,35.01,30319,3,300,801,269.07,282.31,78.31,25.14,5.39,0.1746,0.3283, 439, 2,33.00,29.61,96603.22,405303.781250,1
50,1115,30.82,35.01,30319,3,300,801,269.07,282.31,78.31,25.14,5.39,0.1837,0.3454, 443, 2,33.03,29.50,96603.54,404104.187500,1
51,1115,30.89,34.83,30282,3,359,810,265.36,282.03,76.47,25.14,5.39,0.1837,0.3454, 443, 2,33.03,29.50,96603.54,404104.187500,1
52,1115,30.89,34.83,30282,3,359,810,265.36,282.03,76.47,25.14,5.39,0.1923,0.3616, 446, 2,33.06,29.40,96602.78,400782.781250,1
53,1114,30.96,34.69,30252,3,300,801,260.55,277.11,78.31,25.14,5.39,0.1923,0.3616, 446, 2,33.06,29.40,96602.78,400782.781250,1
54,1114,30.96,34.69,30252,3,300,801,260.55,277.11,78.31,25.14,5.39,0.2005,0.3770, 449, 2,33.06,29.40,96602.78,400782.781250,1
55,1115,31.01,34.51,30228,3,316,801,260.55,277.11,78.31,25.14,5.39,0.2005,0.3770, 449, 2,33.09,29.29,96602.53,400782.781250,1
56,1115,31.01,34.51,30228,3,316,806,260.11,279.93,77.20,25.14,5.39,0.2087,0.3923, 453, 2,33.09,29.29,96602.53,400782.781250,1
57,1114,31.09,34.35,30206,3,316,806,260.11,279.93,77.20,25.14,5.39,0.2087,0.3923, 453, 2,33.12,29.20,96602.15,399843.812500,1
58,1114,31.09,34.35,30206,3,337,814,263.12,277.76,75.75,25.14,5.39,0.2087,0.3923, 453, 2,33.12,29.20,96602.15,399843.812500,1
59,1114,31.09,34.35,30206,3,337,814,263.12,277.76,75.75,25.14,5.39,0.2163,0.4067, 456, 2,33.16,29.11,96601.62,396591.781250,1
