Cabecera experimento NoseCris
nº,Co2(scd40),temp(scd40),hum(scd40),raw_signla(sgp40),aiq(ens160),tvoc(ens160),eco2(ens160),rs1(ens160),rs3(ens160),rs4(ens160),temp(ens160),rmox(zmod4410),etoh(zmod4410),tvoc(zmod4410),eco2(zmod4410),iaq(zmod4410),temperatura(bme688),humedad(bme688),presion(bme688),resistencia(bme688),Aire/muestra
 1,1642,26.39,27.45,32953,1,0,400,502.57,559.49,125.39,25.14,5.40,0.0249,0.0467, 433, 1,28.85,22.28,95895.66,592421.187500,0
2,1642,26.39,27.45,32953,1,0,400,505.30,557.22,127.01,25.14,5.41,0.0233,0.0438, 432, 1,28.85,22.28,95895.66,592421.187500,0
3,1642,26.39,27.45,32953,1,0,400,505.30,557.22,127.01,25.14,5.41,0.0233,0.0438, 432, 1,28.81,22.22,95894.68,592421.187500,0
4,1570,26.32,27.41,32963,1,0,400,509.94,559.68,125.90,25.14,5.41,0.0233,0.0438, 432, 1,28.81,22.22,95894.68,592421.187500,0
5,1570,26.32,27.41,32963,1,0,400,509.94,559.68,125.90,25.14,5.41,0.0219,0.0411, 430, 1,28.78,22.23,95893.73,596041.937500,0
6,1570,26.32,27.41,32974,1,0,400,509.94,567.69,126.92,25.14,5.41,0.0219,0.0411, 430, 1,28.78,22.23,95893.73,596041.937500,0
7,1570,26.32,27.41,32974,1,0,400,509.94,567.69,126.92,25.14,5.41,0.0206,0.0387, 429, 1,28.74,22.26,95893.37,595521.937500,0
8,1483,26.25,27.36,32979,1,0,400,517.41,570.19,129.18,25.14,5.41,0.0206,0.0387, 429, 1,28.74,22.26,95893.37,595521.937500,0
9,1483,26.25,27.36,32979,1,0,400,517.41,570.19,129.18,25.14,5.41,0.0194,0.0366, 427, 1,28.74,22.26,95893.37,595521.937500,0
10,1413,26.16,27.39,32986,1,0,400,517.41,570.19,129.18,25.14,5.41,0.0194,0.0366, 427, 1,28.70,22.25,95893.27,600234.437500,0
11,1413,26.16,27.39,32986,1,0,400,513.92,578.36,126.11,25.14,5.41,0.0184,0.0346, 426, 1,28.70,22.25,95893.27,600234.437500,0
12,1353,26.09,27.36,32983,1,0,400,513.92,578.36,126.11,25.14,5.41,0.0184,0.0346, 426, 1,28.66,22.29,95893.63,602884.875000,0
13,1353,26.09,27.36,32983,1,0,400,515.49,580.32,127.14,25.14,5.41,0.0184,0.0346, 426, 1,28.66,22.29,95893.63,602884.875000,0
14,1353,26.09,27.36,32983,1,0,400,515.49,580.32,127.14,25.14,5.42,0.0174,0.0328, 424, 1,28.61,22.34,95893.62,604486.437500,0
15,1284,26.02,27.42,32979,1,0,400,528.92,583.27,127.18,25.14,5.42,0.0174,0.0328, 424, 1,28.61,22.34,95893.62,604486.437500,0
16,1284,26.02,27.42,32979,1,0,400,528.92,583.27,127.18,25.14,5.42,0.0166,0.0312, 423, 1,28.56,22.33,95893.37,600762.687500,0
17,1237,25.97,27.48,32984,1,0,400,516.54,584.06,125.35,25.14,5.42,0.0166,0.0312, 423, 1,28.56,22.33,95893.37,600762.687500,0
18,1237,25.97,27.48,32984,1,0,400,516.54,584.06,125.35,25.14,5.42,0.0158,0.0297, 422, 1,28.56,22.33,95893.37,600762.687500,0
19,1193,25.90,27.46,32980,1,0,400,516.54,584.06,125.35,25.14,5.42,0.0158,0.0297, 422, 1,28.51,22.40,95893.02,601821.937500,0
20,1193,25.90,27.46,32980,1,0,400,516.89,595.64,129.70,25.14,5.42,0.0151,0.0284, 421, 1,28.51,22.40,95893.02,601821.937500,0
21,1147,25.83,27.52,32983,1,0,400,516.89,595.64,129.70,25.14,5.42,0.0151,0.0284, 421, 1,28.47,22.44,95893.20,605022.187500,0
22,1147,25.83,27.52,32983,1,0,400,517.41,593.23,128.05,25.14,5.42,0.0151,0.0284, 421, 1,28.47,22.44,95893.20,605022.187500,0
23,1147,25.83,27.52,32983,1,0,400,517.41,593.23,128.05,25.14,5.42,0.0145,0.0272, 420, 1,28.42,22.46,95892.55,604486.437500,0
24,1106,25.78,27.53,32981,1,0,400,537.22,598.67,126.80,25.14,5.42,0.0145,0.0272, 420, 1,28.42,22.46,95892.55,604486.437500,0
