Cabecera experimento NoseCris
nº,Co2(scd40),temp(scd40),hum(scd40),raw_signla(sgp40),aiq(ens160),tvoc(ens160),eco2(ens160),rs1(ens160),rs3(ens160),rs4(ens160),temp(ens160),rmox(zmod4410),etoh(zmod4410),tvoc(zmod4410),eco2(zmod4410),iaq(zmod4410),temperatura(bme688),humedad(bme688),presion(bme688),resistencia(bme688),Aire/muestra
 1,874,29.15,26.91,33084,2,71,498,578.36,647.79,104.27,25.14,5.47,0.0610,0.1146, 434, 2,31.96,22.43,95693.23,501469.156250,0
2,874,29.15,26.91,33083,1,91,534,564.24,657.29,100.73,25.14,5.47,0.0610,0.1146, 434, 2,31.96,22.43,95693.23,501469.156250,0
3,874,29.15,26.91,33083,1,91,534,564.24,657.29,100.73,25.14,5.47,0.0607,0.1142, 433, 2,31.96,22.43,95692.87,502576.687500,0
4,873,29.16,26.88,33091,2,84,522,569.81,643.21,101.89,25.14,5.47,0.0607,0.1142, 433, 2,31.96,22.43,95692.87,502576.687500,0
5,873,29.16,26.88,33091,2,84,522,569.81,643.21,101.89,25.14,5.47,0.0606,0.1139, 433, 2,31.96,22.43,95692.87,502576.687500,0
6,870,29.13,26.91,33096,2,72,522,569.81,643.21,101.89,25.14,5.47,0.0606,0.1139, 433, 2,31.95,22.40,95693.19,503689.125000,0
7,870,29.13,26.91,33096,2,72,500,576.01,666.25,104.16,25.14,5.47,0.0602,0.1132, 433, 2,31.95,22.40,95693.19,503689.125000,0
8,868,29.14,26.87,33095,2,72,500,576.01,666.25,104.16,25.14,5.47,0.0602,0.1132, 433, 2,31.95,22.44,95693.23,500366.468750,0
9,868,29.14,26.87,33095,2,73,502,577.57,651.31,103.77,25.14,5.47,0.0602,0.1132, 433, 2,31.95,22.44,95693.23,500366.468750,0
10,868,29.14,26.87,33095,2,73,502,577.57,651.31,103.77,25.14,5.47,0.0599,0.1127, 433, 2,31.94,22.43,95693.70,502946.968750,0
11,864,29.11,26.88,33091,2,88,528,571.35,654.63,101.31,25.14,5.47,0.0599,0.1127, 433, 2,31.94,22.43,95693.70,502946.968750,0
12,864,29.11,26.88,33091,2,88,528,571.35,654.63,101.31,25.14,5.47,0.0597,0.1123, 432, 2,31.93,22.40,95694.09,503317.781250,0
13,864,29.10,26.91,33088,2,73,502,581.69,657.51,103.91,25.14,5.47,0.0597,0.1123, 432, 2,31.93,22.40,95694.09,503317.781250,0
14,864,29.10,26.91,33088,2,73,502,581.69,657.51,103.91,25.14,5.47,0.0594,0.1116, 432, 2,31.93,22.40,95694.09,503317.781250,0
15,863,29.12,26.93,33090,2,69,502,581.69,657.51,103.91,25.14,5.47,0.0594,0.1116, 432, 2,31.93,22.43,95694.05,503689.125000,0
16,863,29.12,26.93,33090,2,69,495,576.99,650.21,104.66,25.14,5.47,0.0588,0.1106, 432, 2,31.93,22.43,95694.05,503689.125000,0
17,862,29.13,26.97,33092,2,69,495,576.99,650.21,104.66,25.14,5.47,0.0588,0.1106, 432, 2,31.92,22.43,95694.07,504433.500000,0
18,862,29.13,26.97,33092,2,92,506,575.23,656.40,103.56,25.14,5.47,0.0588,0.1106, 432, 2,31.92,22.43,95694.07,504433.500000,0
19,862,29.13,26.97,33092,2,92,506,575.23,656.40,103.56,25.14,5.47,0.0583,0.1097, 432, 2,31.92,22.42,95694.57,505554.187500,0
20,862,29.11,26.99,33099,2,61,480,580.32,658.40,106.19,25.14,5.47,0.0583,0.1097, 432, 2,31.92,22.42,95694.57,505554.187500,0
21,862,29.11,26.99,33099,2,61,480,580.32,658.40,106.19,25.14,5.47,0.0580,0.1090, 432, 2,31.91,22.40,95695.34,501469.156250,0
22,862,29.12,26.93,33095,2,76,507,558.54,653.30,103.42,25.14,5.47,0.0580,0.1090, 432, 2,31.91,22.40,95695.34,501469.156250,0
23,862,29.12,26.93,33095,2,76,507,558.54,653.30,103.42,25.14,5.47,0.0580,0.1090, 431, 2,31.91,22.40,95695.34,501469.156250,0
24,861,29.12,26.94,33096,2,95,507,558.54,653.30,103.42,25.14,5.47,0.0580,0.1090, 431, 2,31.91,22.40,95696.09,504806.500000,0
25,861,29.12,26.94,33096,2,95,541,582.29,667.38,100.12,25.14,5.47,0.0577,0.1084, 431, 2,31.91,22.40,95696.09,504806.500000,0
26,861,29.13,26.86,33097,2,95,541,582.29,667.38,100.12,25.14,5.47,0.0577,0.1084, 431, 2,31.90,22.46,95697.19,505554.187500,0
27,861,29.13,26.86,33097,2,81,544,585.05,670.32,99.78,25.14,5.47,0.0577,0.1084, 431, 2,31.90,22.46,95697.19,505554.187500,0
28,861,29.13,26.86,33097,2,81,544,585.05,670.32,99.78,25.14,5.47,0.0571,0.1074, 431, 2,31.90,22.44,95697.52,506304.093750,0
29,860,29.13,26.93,33098,2,73,501,580.71,662.88,104.06,25.14,5.47,0.0571,0.1074, 431, 2,31.90,22.44,95697.52,506304.093750,0
30,860,29.13,26.93,33098,2,73,501,580.71,662.88,104.06,25.14,5.47,0.0570,0.1072, 431, 2,31.89,22.42,95698.09,504806.500000,0
31,860,29.13,26.93,33100,2,80,515,577.77,647.79,102.62,25.14,5.47,0.0570,0.1072, 431, 2,31.89,22.42,95698.09,504806.500000,0
32,860,29.13,26.93,33100,2,80,515,577.77,647.79,102.62,25.14,5.47,0.0568,0.1067, 430, 2,31.89,22.42,95698.09,504806.500000,0
33,860,29.12,26.89,33093,2,70,515,577.77,647.79,102.62,25.14,5.47,0.0568,0.1067, 430, 2,31.89,22.40,95697.79,502576.687500,0
34,860,29.12,26.89,33093,2,70,495,577.97,657.29,104.62,25.14,5.47,0.0564,0.1060, 430, 2,31.89,22.40,95697.79,502576.687500,0
35,859,29.14,26.88,33090,2,70,495,577.97,657.29,104.62,25.14,5.47,0.0564,0.1060, 430, 2,31.88,22.40,95697.97,507056.187500,0
36,859,29.14,26.88,33090,2,84,527,576.79,659.30,101.48,25.14,5.47,0.0564,0.1060, 430, 2,31.88,22.40,95697.97,507056.187500,0
37,859,29.14,26.88,33090,2,84,527,576.79,659.30,101.48,25.14,5.47,0.0561,0.1055, 430, 2,31.88,22.39,95698.88,507810.562500,0
38,858,29.15,26.90,33094,2,79,513,590.42,656.85,102.83,25.14,5.47,0.0561,0.1055, 430, 2,31.88,22.39,95698.88,507810.562500,0
39,858,29.15,26.90,33094,2,79,513,590.42,656.85,102.83,25.14,5.47,0.0560,0.1053, 430, 2,31.88,22.42,95699.33,506304.093750,0
40,858,29.14,26.84,33098,2,79,514,584.06,656.18,102.80,25.14,5.47,0.0560,0.1053, 430, 2,31.88,22.42,95699.33,506304.093750,0
41,858,29.14,26.84,33098,2,79,514,584.06,656.18,102.80,25.14,5.47,0.0559,0.1050, 430, 2,31.88,22.42,95699.33,506304.093750,0
42,858,29.14,26.88,33100,2,79,514,584.06,656.18,102.80,25.14,5.47,0.0559,0.1050, 430, 2,31.87,22.42,95699.05,504061.031250,0
43,858,29.14,26.88,33100,2,79,513,592.02,666.70,102.83,25.14,5.47,0.0555,0.1042, 429, 2,31.87,22.42,95699.05,504061.031250,0
44,858,29.15,26.90,33100,2,79,513,592.02,666.70,102.83,25.14,5.47,0.0555,0.1042, 429, 2,31.87,22.44,95698.75,507810.562500,0
45,858,29.15,26.90,33100,2,97,513,584.85,663.55,102.83,25.14,5.47,0.0555,0.1042, 429, 2,31.87,22.44,95698.75,507810.562500,0
46,858,29.15,26.90,33100,2,97,513,584.85,663.55,102.83,25.14,5.47,0.0552,0.1038, 429, 2,31.87,22.44,95698.27,502946.968750,0
47,858,29.14,26.92,33096,2,77,509,574.46,659.07,103.28,25.14,5.47,0.0552,0.1038, 429, 2,31.87,22.44,95698.27,502946.968750,0
48,858,29.14,26.92,33096,2,77,509,574.46,659.07,103.28,25.14,5.47,0.0551,0.1036, 429, 2,31.87,22.48,95698.30,505554.187500,0
49,858,29.17,26.89,33100,2,81,516,581.50,665.57,102.52,25.14,5.47,0.0551,0.1036, 429, 2,31.87,22.48,95698.30,505554.187500,0
50,858,29.17,26.89,33100,2,81,516,581.50,665.57,102.52,25.14,5.47,0.0551,0.1035, 429, 2,31.87,22.48,95698.30,505554.187500,0
51,859,29.18,26.87,33098,2,80,516,581.50,665.57,102.52,25.14,5.47,0.0551,0.1035, 429, 2,31.86,22.46,95698.46,506679.875000,0
52,859,29.18,26.87,33098,2,80,515,575.43,665.57,102.69,25.14,5.47,0.0547,0.1028, 429, 2,31.86,22.46,95698.46,506679.875000,0
53,859,29.18,26.90,33101,2,80,515,575.43,665.57,102.69,25.14,5.47,0.0547,0.1028, 429, 2,31.86,22.44,95698.52,505180.062500,0
54,859,29.18,26.90,33101,2,92,535,588.63,663.55,100.66,25.14,5.47,0.0547,0.1028, 429, 2,31.86,22.44,95698.52,505180.062500,0
55,859,29.18,26.90,33101,2,92,535,588.63,663.55,100.66,25.14,5.47,0.0547,0.1028, 429, 2,31.86,22.44,95698.72,506679.875000,0
56,860,29.18,26.93,33101,2,84,522,577.38,659.74,101.93,25.14,5.47,0.0547,0.1028, 429, 2,31.86,22.44,95698.72,506679.875000,0
57,860,29.18,26.93,33101,2,84,522,577.38,659.74,101.93,25.14,5.47,0.0546,0.1026, 428, 2,31.86,22.43,95699.38,506679.875000,0
58,860,29.18,26.93,33109,2,81,517,591.42,675.79,102.48,25.14,5.47,0.0546,0.1026, 428, 2,31.86,22.43,95699.38,506679.875000,0
59,860,29.18,26.93,33109,2,81,517,591.42,675.79,102.48,25.14,5.47,0.0542,0.1019, 428, 2,31.86,22.43,95699.38,506679.875000,0
60,860,29.18,26.86,33109,2,88,517,591.42,675.79,102.48,25.14,5.47,0.0542,0.1019, 428, 2,31.86,22.45,95699.60,507810.562500,1
61,860,29.18,26.86,33109,2,88,486,588.83,661.75,105.55,25.14,5.47,0.0541,0.1017, 428, 2,31.86,22.45,95699.60,507810.562500,1
62,860,29.21,26.88,33127,2,88,486,588.83,661.75,105.55,25.14,5.47,0.0541,0.1017, 428, 2,31.86,22.46,95699.66,507810.562500,1
