Cabecera experimento NoseCris
nº,Co2(scd40),temp(scd40),hum(scd40),raw_signla(sgp40),aiq(ens160),tvoc(ens160),eco2(ens160),rs1(ens160),rs3(ens160),rs4(ens160),temp(ens160),rmox(zmod4410),etoh(zmod4410),tvoc(zmod4410),eco2(zmod4410),iaq(zmod4410),temperatura(bme688),humedad(bme688),presion(bme688),resistencia(bme688),Aire/muestra
 1,1184,28.88,29.48,31054,3,422,842,162.33,133.76,70.24,25.14,5.37,0.5318,0.9998, 400, 3,31.63,24.64,96805.68,345013.468750,0
2,1184,28.88,29.48,31054,3,411,838,161.18,139.02,70.82,25.14,5.37,0.5297,0.9958, 400, 3,31.63,24.64,96805.68,345013.468750,0
3,1185,28.85,29.53,31069,3,411,838,161.18,139.02,70.82,25.14,5.37,0.5297,0.9958, 400, 3,31.61,24.68,96805.58,345362.562500,0
4,1185,28.85,29.53,31069,3,400,835,160.48,137.94,71.42,25.14,5.37,0.5297,0.9958, 400, 3,31.61,24.68,96805.58,345362.562500,0
5,1185,28.85,29.53,31069,3,400,835,160.48,137.94,71.42,25.14,5.37,0.5273,0.9912, 400, 3,31.59,24.67,96805.25,347118.656250,0
6,1185,28.85,29.53,31088,3,397,834,165.44,138.18,71.59,25.14,5.37,0.5273,0.9912, 400, 3,31.59,24.67,96805.25,347118.656250,0
7,1185,28.85,29.53,31088,3,397,834,165.44,138.18,71.59,25.14,5.37,0.5249,0.9868, 400, 3,31.57,24.68,96805.12,350684.937500,0
8,1184,28.82,29.57,31094,3,399,837,165.72,137.85,71.06,25.14,5.37,0.5249,0.9868, 400, 3,31.57,24.68,96805.12,350684.937500,0
9,1184,28.82,29.57,31094,3,399,837,165.72,137.85,71.06,25.14,5.37,0.5228,0.9828, 400, 3,31.57,24.68,96805.12,350684.937500,0
10,1185,28.76,29.58,31112,3,391,837,165.72,137.85,71.06,25.14,5.37,0.5228,0.9828, 400, 3,31.56,24.70,96804.70,351045.593750,0
11,1185,28.76,29.58,31112,3,391,832,167.92,144.25,71.90,25.14,5.37,0.5202,0.9781, 400, 3,31.56,24.70,96804.70,351045.593750,0
12,1185,28.76,29.66,31127,3,391,832,167.92,144.25,71.90,25.14,5.37,0.5202,0.9781, 400, 3,31.54,24.72,96803.93,353591.156250,0
13,1185,28.76,29.66,31127,3,383,829,166.39,140.16,72.39,25.14,5.37,0.5202,0.9781, 400, 3,31.54,24.72,96803.93,353591.156250,0
14,1185,28.76,29.66,31127,3,383,829,166.39,140.16,72.39,25.14,5.37,0.5183,0.9744, 400, 3,31.52,24.77,96803.45,358041.968750,0
15,1186,28.71,29.67,31135,3,388,831,170.15,143.95,72.07,25.14,5.37,0.5183,0.9744, 400, 3,31.52,24.77,96803.45,358041.968750,0
16,1186,28.71,29.67,31135,3,388,831,170.15,143.95,72.07,25.14,5.37,0.5165,0.9711, 400, 3,31.51,24.79,96803.75,353957.843750,0
17,1185,28.68,29.64,31143,3,387,833,173.64,143.37,71.69,25.14,5.37,0.5165,0.9711, 400, 3,31.51,24.79,96803.75,353957.843750,0
18,1185,28.68,29.64,31143,3,387,833,173.64,143.37,71.69,25.14,5.37,0.5146,0.9674, 400, 3,31.51,24.79,96803.75,353957.843750,0
19,1185,28.65,29.77,31158,3,401,833,173.64,143.37,71.69,25.14,5.37,0.5146,0.9674, 400, 3,31.49,24.77,96803.27,357292.406250,0
20,1185,28.65,29.77,31158,3,401,835,172.53,147.06,71.37,25.14,5.37,0.5131,0.9646, 400, 3,31.49,24.77,96803.27,357292.406250,0
21,1185,28.62,29.74,31166,3,401,835,172.53,147.06,71.37,25.14,5.37,0.5131,0.9646, 400, 3,31.47,24.81,96802.87,356173.906250,0
22,1185,28.62,29.74,31166,3,356,820,174.53,145.87,73.98,25.14,5.37,0.5131,0.9646, 400, 3,31.47,24.81,96802.87,356173.906250,0
23,1185,28.62,29.74,31166,3,356,820,174.53,145.87,73.98,25.14,5.37,0.5109,0.9605, 400, 3,31.45,24.84,96802.80,359550.562500,0
24,1185,28.63,29.77,31177,3,383,829,174.70,149.31,72.34,25.14,5.37,0.5109,0.9605, 400, 3,31.45,24.84,96802.80,359550.562500,0
25,1185,28.63,29.77,31177,3,383,829,174.70,149.31,72.34,25.14,5.37,0.5094,0.9577, 400, 3,31.43,24.87,96802.83,358417.906250,0
26,1185,28.60,29.79,31187,3,386,838,179.50,153.78,70.84,25.14,5.37,0.5094,0.9577, 400, 3,31.43,24.87,96802.83,358417.906250,0
27,1185,28.60,29.79,31187,3,386,838,179.50,153.78,70.84,25.14,5.37,0.5081,0.9553, 400, 3,31.43,24.87,96802.83,358417.906250,0
28,1185,28.60,29.83,31196,3,408,838,179.50,153.78,70.84,25.14,5.37,0.5081,0.9553, 400, 3,31.42,24.89,96802.92,362221.437500,0
29,1185,28.60,29.83,31196,3,408,837,176.91,151.14,70.99,25.14,5.37,0.5064,0.9521, 400, 3,31.42,24.89,96802.92,362221.437500,0
30,1184,28.59,29.83,31201,3,408,837,176.91,151.14,70.99,25.14,5.37,0.5064,0.9521, 400, 3,31.40,24.90,96802.73,362606.218750,0
31,1184,28.59,29.83,31201,3,370,825,178.65,154.14,73.13,25.14,5.37,0.5064,0.9521, 400, 3,31.40,24.90,96802.73,362606.218750,0
32,1184,28.59,29.83,31201,3,370,825,178.65,154.14,73.13,25.14,5.37,0.5048,0.9489, 400, 3,31.38,24.92,96802.63,364932.281250,0
33,1184,28.57,29.84,31211,3,394,833,179.80,152.07,71.37,25.14,5.37,0.5048,0.9489, 400, 3,31.38,24.92,96802.63,364932.281250,0
34,1184,28.57,29.84,31211,3,394,833,179.80,152.07,71.37,25.14,5.37,0.5036,0.9467, 400, 3,31.37,24.96,96802.15,365322.875000,0
35,1184,28.57,29.84,31219,3,369,824,182.13,155.50,73.21,25.14,5.37,0.5036,0.9467, 400, 3,31.37,24.96,96802.15,365322.875000,0
36,1184,28.57,29.84,31219,3,369,824,182.13,155.50,73.21,25.14,5.37,0.5015,0.9428, 400, 3,31.37,24.96,96802.15,365322.875000,0
37,1183,28.56,29.87,31225,3,376,824,182.13,155.50,73.21,25.14,5.37,0.5015,0.9428, 400, 3,31.35,24.97,96802.38,367684.031250,0
38,1183,28.56,29.87,31225,3,376,827,183.24,154.82,72.79,25.14,5.37,0.4997,0.9394, 400, 3,31.35,24.97,96802.38,367684.031250,0
39,1183,28.56,29.88,31231,3,376,827,183.24,154.82,72.79,25.14,5.37,0.4997,0.9394, 400, 3,31.34,24.98,96802.70,367684.031250,0
40,1183,28.56,29.88,31231,3,381,828,183.93,159.12,72.52,25.14,5.37,0.4997,0.9394, 400, 3,31.34,24.98,96802.70,367684.031250,0
41,1183,28.56,29.88,31231,3,381,828,183.93,159.12,72.52,25.14,5.37,0.4989,0.9379, 400, 3,31.32,25.00,96801.82,367684.031250,0
42,1184,28.58,29.93,31238,3,371,806,184.49,161.95,76.71,25.14,5.37,0.4989,0.9379, 400, 3,31.32,25.00,96801.82,367684.031250,0
43,1184,28.58,29.93,31238,3,371,806,184.49,161.95,76.71,25.14,5.37,0.4973,0.9349, 400, 3,31.31,25.01,96801.48,368080.531250,0
44,1184,28.55,29.86,31243,3,383,829,184.80,162.00,72.39,25.14,5.37,0.4973,0.9349, 400, 3,31.31,25.01,96801.48,368080.531250,0
